,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Matt Martin,LW,2009-2010,NYI,5,0,2,2,-1,26,0,2,0,0,0,0,10,0,0
1,Matt Martin,LW,2010-2011,NYI,68,5,9,14,-13,147,0,0,0,1,1,0,60,8.33,37.04
2,Matt Martin,LW,2011-2012,NYI,80,7,7,14,-17,121,0,0,0,2,1,0,130,5.38,43.48
3,Matt Martin,LW,2012-2013,NYI,48,4,7,11,-2,63,1,1,0,0,1,0,67,5.97,33.33
4,Matt Martin,LW,2013-2014,NYI,79,8,6,14,-11,90,0,0,0,0,3,0,120,6.67,33.33
5,Matt Martin,LW,2014-2015,NYI,78,8,6,14,-4,114,0,0,0,0,2,0,90,8.89,50
6,Matt Martin,LW,2015-2016,NYI,80,10,9,19,2,119,0,0,0,0,1,0,86,11.63,25
7,Matt Martin,LW,2016-2017,TOR,82,5,4,9,0,123,0,0,0,0,0,0,66,7.58,0
8,Matt Martin,LW,2017-2018,TOR,50,3,9,12,0,50,0,0,0,0,0,0,46,6.52,75
9,Matt Martin,LW,2018-2019,NYI,67,6,8,14,5,53,0,0,0,0,1,0,62,9.68,40
10,Matt Martin,LW,2019-2020,NYI,55,5,3,8,-1,40,0,0,0,0,2,0,49,10.2,42.86
11,Matt Martin,LW,2020-2021,NYI,54,6,5,11,-2,36,1,2,0,0,0,0,68,8.8,25
12,Matt Martin,LW,2021-2022,NYI,71,3,4,7,-2,70,0,0,0,0,0,0,66,4.5,42.11
13,Matt Martin,LW,2022-2023,NYI,34,3,6,9,2,41,0,0,0,0,1,0,24,12.5,30.77
