,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Semyon Varlamov,G,2008-2009,WSH,6,5,4,0,--,1,159,13,2.37,146,.918,0,328:33
1,Semyon Varlamov,G,2009-2010,WSH,26,23,15,4,--,6,718,65,2.55,653,.909,2,"1,527:26"
2,Semyon Varlamov,G,2010-2011,WSH,27,25,11,9,--,5,759,58,2.23,701,.924,2,"1,560:03"
3,Semyon Varlamov,G,2011-2012,COL,53,52,26,24,--,3,"1,564",136,2.59,"1,428",.913,4,"3,151:21"
4,Semyon Varlamov,G,2012-2013,COL,35,33,11,21,--,3,"1,007",98,3.02,909,.903,3,"1,949:39"
5,Semyon Varlamov,G,2013-2014,COL,63,60,41,14,--,6,"2,013",146,2.41,"1,867",.927,2,"3,639:46"
6,Semyon Varlamov,G,2014-2015,COL,57,57,28,20,--,8,"1,791",141,2.56,"1,650",.921,5,"3,306:50"
7,Semyon Varlamov,G,2015-2016,COL,57,57,27,25,--,3,"1,714",148,2.81,"1,566",.914,2,"3,159:25"
8,Semyon Varlamov,G,2016-2017,COL,24,23,6,17,--,0,745,76,3.38,669,.898,1,"1,347:47"
9,Semyon Varlamov,G,2017-2018,COL,51,47,24,16,0,6,"1,595",128,2.68,"1,467",.920,2,"2,861:03"
10,Semyon Varlamov,G,2018-2019,COL,49,49,20,19,0,9,"1,496",136,2.87,"1,360",.909,2,"2,839:12"
11,Semyon Varlamov,G,2019-2020,NYI,45,39,19,14,0,6,"1,278",110,2.62,"1,168",.914,2,"2,517:19"
12,Semyon Varlamov,G,2020-2021,NYI,36,35,19,11,0,4,"1,020",72,2.04,948,.929,7,"2,116:56"
13,Semyon Varlamov,G,2021-2022,NYI,31,29,10,17,0,2,978,87,2.91,891,.911,2,"1,792:17"
14,Semyon Varlamov,G,2022-2023,NYI,12,12,8,3,0,1,381,31,2.65,350,.919,1,702:23
