,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Chris Kreider,LW,2012-2013,NYR,23,2,1,3,-1,6,0,0,0,0,0,0,19,10.53,0
1,Chris Kreider,LW,2013-2014,NYR,66,17,20,37,14,72,6,12,0,0,0,0,136,12.5,42.11
2,Chris Kreider,LW,2014-2015,NYR,80,21,25,46,24,88,7,8,0,0,5,0,180,11.67,42.86
3,Chris Kreider,LW,2015-2016,NYR,79,21,22,43,10,58,5,8,0,0,3,0,158,13.29,83.33
4,Chris Kreider,LW,2016-2017,NYR,75,28,25,53,6,58,6,13,0,0,4,1,186,15.05,55.56
5,Chris Kreider,LW,2017-2018,NYR,58,16,21,37,-2,44,7,12,0,0,0,0,137,11.68,41.67
6,Chris Kreider,LW,2018-2019,NYR,79,28,24,52,4,57,7,12,0,0,2,0,201,13.93,37.5
7,Chris Kreider,LW,2019-2020,NYR,63,24,21,45,13,58,9,13,0,0,5,0,156,15.4,43.09
8,Chris Kreider,LW,2020-2021,NYR,50,20,10,30,-1,34,11,14,0,0,4,0,102,19.6,40
9,Chris Kreider,LW,2021-2022,NYR,81,52,25,77,19,24,26,35,3,3,11,0,258,20.2,48.91
10,Chris Kreider,LW,2022-2023,NYR,35,16,10,26,8,10,4,9,1,1,2,1,109,14.7,47.22
