,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jacob Trouba,D,2013-2014,WPG,65,10,19,29,4,43,0,3,1,1,1,1,121,8.26,0
1,Jacob Trouba,D,2014-2015,WPG,65,7,15,22,2,46,1,6,0,0,0,0,133,5.26,0
2,Jacob Trouba,D,2015-2016,WPG,81,6,15,21,10,62,0,4,1,2,0,0,133,4.51,0
3,Jacob Trouba,D,2016-2017,WPG,60,8,25,33,4,54,2,4,0,1,1,0,154,5.19,0
4,Jacob Trouba,D,2017-2018,WPG,55,3,21,24,9,34,0,3,0,1,2,0,144,2.08,0
5,Jacob Trouba,D,2018-2019,WPG,82,8,42,50,8,58,3,18,1,3,1,1,162,4.94,0
6,Jacob Trouba,D,2019-2020,NYR,70,7,20,27,-12,61,4,8,0,2,1,0,168,4.2,0
7,Jacob Trouba,D,2020-2021,NYR,38,2,10,12,3,22,0,1,0,0,1,0,70,2.9,0
8,Jacob Trouba,D,2021-2022,NYR,81,11,28,39,25,88,1,4,0,2,1,0,204,5.4,0
9,Jacob Trouba,D,2022-2023,NYR,35,2,9,11,-3,37,0,0,1,2,0,0,101,2,0
