,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Jaroslav Halak,G,2006-2007,MTL,16,16,10,6,--,0,469,44,2.89,425,.906,2,912:04
1,Jaroslav Halak,G,2007-2008,MTL,6,4,2,1,--,1,151,10,2.11,141,.934,1,284:40
2,Jaroslav Halak,G,2008-2009,MTL,34,33,18,14,--,1,"1,077",92,2.86,985,.915,1,"1,930:48"
3,Jaroslav Halak,G,2009-2010,MTL,45,43,26,13,--,5,"1,386",105,2.40,"1,281",.924,5,"2,629:56"
4,Jaroslav Halak,G,2010-2011,STL,57,57,27,21,--,7,"1,518",136,2.48,"1,382",.910,7,"3,294:22"
5,Jaroslav Halak,G,2011-2012,STL,46,46,26,12,--,7,"1,211",90,1.97,"1,121",.926,6,"2,746:37"
6,Jaroslav Halak,G,2012-2013,STL,16,15,6,5,--,1,286,29,2.14,257,.899,3,812:35
7,Jaroslav Halak,G,2013-2014,STL,40,38,24,9,--,4,"1,002",83,2.23,919,.917,4,"2,238:03"
8,Jaroslav Halak,G,2013-2014,WSH,12,12,5,4,--,3,383,27,2.31,356,.930,1,700:51
9,Jaroslav Halak,G,2014-2015,NYI,59,59,38,17,--,4,"1,673",144,2.43,"1,529",.914,6,"3,549:57"
10,Jaroslav Halak,G,2015-2016,NYI,36,36,18,13,--,4,984,80,2.30,904,.919,3,"2,091:11"
11,Jaroslav Halak,G,2016-2017,NYI,28,26,12,9,--,5,885,75,2.80,810,.915,2,"1,605:29"
12,Jaroslav Halak,G,2017-2018,NYI,54,49,20,26,0,6,"1,744",161,3.19,"1,583",.908,1,"3,024:03"
13,Jaroslav Halak,G,2018-2019,BOS,40,37,22,11,0,4,"1,158",90,2.34,"1,068",.922,5,"2,308:07"
14,Jaroslav Halak,G,2019-2020,BOS,31,29,18,6,0,6,905,73,2.39,832,.919,3,"1,833:22"
15,Jaroslav Halak,G,2020-2021,BOS,19,17,9,6,0,4,482,46,2.53,436,.905,2,"1,090:01"
16,Jaroslav Halak,G,2021-2022,VAN,17,14,4,7,0,2,400,39,2.94,361,.903,0,796:39
17,Jaroslav Halak,G,2022-2023,NYR,9,9,2,6,0,1,246,27,3.04,219,.890,0,533:23
