,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mika Zibanejad,C,2011-2012,OTT,9,0,1,1,-3,2,0,1,0,0,0,0,12,0,44
1,Mika Zibanejad,C,2012-2013,OTT,42,7,13,20,9,6,3,4,0,0,0,0,90,7.78,46.36
2,Mika Zibanejad,C,2013-2014,OTT,69,16,17,33,-15,18,3,8,0,0,0,0,153,10.46,46.1
3,Mika Zibanejad,C,2014-2015,OTT,80,20,26,46,0,20,4,14,0,0,0,0,150,13.33,48.77
4,Mika Zibanejad,C,2015-2016,OTT,81,21,30,51,-2,18,2,11,2,2,7,0,184,11.41,50.46
5,Mika Zibanejad,C,2016-2017,NYR,56,14,23,37,9,16,4,11,0,0,2,2,119,11.76,52
6,Mika Zibanejad,C,2017-2018,NYR,72,27,20,47,-23,14,14,21,0,1,4,1,212,12.74,50.82
7,Mika Zibanejad,C,2018-2019,NYR,82,30,44,74,-12,47,11,23,2,2,5,0,236,12.71,49.67
8,Mika Zibanejad,C,2019-2020,NYR,57,41,34,75,9,14,15,27,3,5,6,2,208,19.7,49.17
9,Mika Zibanejad,C,2020-2021,NYR,56,24,26,50,2,18,10,14,2,4,7,1,171,14,46.32
10,Mika Zibanejad,C,2021-2022,NYR,81,29,52,81,30,12,15,28,1,5,3,0,219,13.2,52.32
11,Mika Zibanejad,C,2022-2023,NYR,35,15,23,38,10,8,10,18,1,1,3,0,133,11.3,46.13
