,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Vincent Trocheck,C,2013-2014,FLA,20,5,3,8,-11,6,1,1,1,1,0,0,38,13.16,47.7
1,Vincent Trocheck,C,2014-2015,FLA,50,7,15,22,9,24,1,1,0,0,0,0,89,7.87,48.65
2,Vincent Trocheck,C,2015-2016,FLA,76,25,28,53,15,44,4,13,1,1,4,0,174,14.37,49.46
3,Vincent Trocheck,C,2016-2017,FLA,82,23,31,54,-13,43,2,12,0,1,2,1,230,10,50.18
4,Vincent Trocheck,C,2017-2018,FLA,82,31,44,75,-9,54,13,27,3,4,5,0,287,10.8,54.09
5,Vincent Trocheck,C,2018-2019,FLA,55,10,24,34,-9,54,3,13,1,1,1,0,158,6.33,51.82
6,Vincent Trocheck,C,2019-2020,FLA,55,10,26,36,-3,33,0,5,1,1,1,0,129,7.8,52.33
7,Vincent Trocheck,C,2019-2020,CAR,7,1,1,2,-5,16,1,2,0,0,1,1,12,8.3,51.2
8,Vincent Trocheck,C,2020-2021,CAR,47,17,26,43,-3,20,7,18,0,0,2,0,123,13.8,56.05
9,Vincent Trocheck,C,2021-2022,CAR,81,21,30,51,21,78,6,12,0,0,3,0,168,12.5,54.62
10,Vincent Trocheck,C,2022-2023,NYR,35,12,16,28,-5,20,7,12,0,0,0,0,106,11.3,56.36
