,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Holden,D,2010-2011,CBJ,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,Nick Holden,D,2012-2013,CBJ,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0
2,Nick Holden,D,2013-2014,COL,54,10,15,25,12,22,2,7,0,1,2,0,66,15.15,0
3,Nick Holden,D,2014-2015,COL,78,5,9,14,-11,28,2,6,0,0,2,0,94,5.32,0
4,Nick Holden,D,2015-2016,COL,82,6,16,22,-1,24,0,1,0,0,0,0,98,6.12,0
5,Nick Holden,D,2016-2017,NYR,80,11,23,34,13,35,3,4,0,1,2,1,84,13.1,0
6,Nick Holden,D,2017-2018,NYR,55,3,9,12,-3,14,0,0,0,0,0,0,54,5.56,0
7,Nick Holden,D,2017-2018,BOS,18,1,4,5,-2,0,0,3,0,0,0,0,26,3.85,0
8,Nick Holden,D,2018-2019,VGK,61,3,12,15,5,14,0,0,0,2,0,0,77,3.9,0
9,Nick Holden,D,2019-2020,VGK,61,6,8,14,-1,13,1,1,0,1,0,0,101,5.9,0
10,Nick Holden,D,2020-2021,VGK,17,0,2,2,3,2,0,0,0,0,0,0,23,0,0
11,Nick Holden,D,2021-2022,OTT,76,5,14,19,0,12,0,0,0,0,1,0,75,6.7,0
12,Nick Holden,D,2022-2023,OTT,28,1,4,5,-7,4,0,0,0,0,0,0,28,3.6,0
