,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Travis Hamonic,D,2010-2011,NYI,62,5,21,26,4,103,1,4,0,1,0,0,118,4.24,0
1,Travis Hamonic,D,2011-2012,NYI,73,2,22,24,6,73,1,6,0,0,0,0,124,1.61,0
2,Travis Hamonic,D,2012-2013,NYI,48,3,7,10,-8,28,1,3,0,1,1,0,83,3.61,0
3,Travis Hamonic,D,2013-2014,NYI,69,3,15,18,2,68,2,3,0,0,0,0,134,2.24,0
4,Travis Hamonic,D,2014-2015,NYI,71,5,28,33,15,85,1,8,0,0,0,0,132,3.79,0
5,Travis Hamonic,D,2015-2016,NYI,72,5,16,21,-5,35,0,0,1,1,1,0,147,3.4,0
6,Travis Hamonic,D,2016-2017,NYI,49,3,11,14,-21,60,0,1,0,0,0,0,74,4.05,0
7,Travis Hamonic,D,2017-2018,CGY,74,1,10,11,-9,79,0,0,0,0,0,0,107,0.93,0
8,Travis Hamonic,D,2018-2019,CGY,69,7,12,19,21,33,0,0,1,3,1,0,128,5.47,0
9,Travis Hamonic,D,2019-2020,CGY,50,3,9,12,-3,27,0,0,0,0,0,0,83,3.6,0
10,Travis Hamonic,D,2020-2021,VAN,38,3,7,10,-3,39,0,0,0,0,0,0,79,3.8,0
11,Travis Hamonic,D,2021-2022,VAN,24,3,4,7,1,6,0,0,0,0,0,0,51,5.9,0
12,Travis Hamonic,D,2021-2022,OTT,19,1,2,3,5,8,0,0,0,0,0,0,31,3.2,0
13,Travis Hamonic,D,2022-2023,OTT,33,3,3,6,-6,28,0,0,0,0,0,0,52,5.8,0
