,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Cam Atkinson,RW,2011-2012,CBJ,27,7,7,14,1,14,1,2,0,0,0,0,66,10.61,0
1,Cam Atkinson,RW,2012-2013,CBJ,35,9,9,18,9,4,1,2,0,0,1,0,91,9.89,0
2,Cam Atkinson,RW,2013-2014,CBJ,79,21,19,40,-4,18,4,9,1,1,5,0,216,9.72,0
3,Cam Atkinson,RW,2014-2015,CBJ,78,22,18,40,-2,22,7,10,1,1,7,0,212,10.38,44.44
4,Cam Atkinson,RW,2015-2016,CBJ,81,27,26,53,-8,22,4,10,2,2,3,1,226,11.95,50
5,Cam Atkinson,RW,2016-2017,CBJ,82,35,27,62,13,22,10,21,3,3,9,3,240,14.58,66.67
6,Cam Atkinson,RW,2017-2018,CBJ,65,24,22,46,19,14,3,10,1,1,5,1,231,10.39,32.31
7,Cam Atkinson,RW,2018-2019,CBJ,80,41,28,69,3,20,8,14,4,4,8,0,295,13.9,31.58
8,Cam Atkinson,RW,2019-2020,CBJ,44,12,14,26,2,6,3,8,0,0,2,1,148,8.1,47.37
9,Cam Atkinson,RW,2020-2021,CBJ,56,15,19,34,-16,4,1,9,4,4,2,0,158,9.5,23.33
10,Cam Atkinson,RW,2021-2022,PHI,73,23,27,50,-2,10,2,5,3,3,6,1,215,10.7,29.41
