,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kevin Hayes,C,2014-2015,NYR,79,17,28,45,15,22,1,5,1,1,1,0,111,15.32,36.27
1,Kevin Hayes,C,2015-2016,NYR,79,14,22,36,4,30,3,6,0,0,3,0,133,10.53,35.96
2,Kevin Hayes,C,2016-2017,NYR,76,17,32,49,10,18,1,7,1,7,4,0,143,11.89,45.66
3,Kevin Hayes,C,2017-2018,NYR,76,25,19,44,1,18,6,8,2,2,4,0,172,14.53,50.54
4,Kevin Hayes,C,2018-2019,NYR,51,14,28,42,1,10,3,11,2,3,1,0,119,11.76,48.57
5,Kevin Hayes,C,2018-2019,WPG,20,5,8,13,-3,2,0,0,0,0,1,1,37,13.51,51.64
6,Kevin Hayes,C,2019-2020,PHI,69,23,18,41,-6,34,4,7,4,4,5,2,175,13.1,50.24
7,Kevin Hayes,C,2020-2021,PHI,55,12,19,31,-2,22,3,9,0,0,2,1,127,9.4,48.95
8,Kevin Hayes,C,2021-2022,PHI,48,10,21,31,-20,26,2,4,0,1,1,0,126,7.9,42.83
9,Kevin Hayes,C,2022-2023,PHI,34,9,21,30,-14,15,2,11,0,0,1,0,94,9.6,47.13
