,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Rasmus Ristolainen,D,2013-2014,BUF,34,2,2,4,-15,6,0,0,0,0,0,0,52,3.85,0
1,Rasmus Ristolainen,D,2014-2015,BUF,78,8,12,20,-32,26,4,9,0,0,0,0,121,6.61,100
2,Rasmus Ristolainen,D,2015-2016,BUF,82,9,32,41,-21,33,4,21,0,0,1,0,202,4.46,0
3,Rasmus Ristolainen,D,2016-2017,BUF,79,6,39,45,-9,58,1,25,0,1,2,2,186,3.23,0
4,Rasmus Ristolainen,D,2017-2018,BUF,73,6,35,41,-25,48,1,23,0,0,1,1,182,3.3,0
5,Rasmus Ristolainen,D,2018-2019,BUF,78,5,38,43,-41,38,1,17,0,0,2,1,182,2.75,0
6,Rasmus Ristolainen,D,2019-2020,BUF,69,6,27,33,-2,46,2,9,0,1,0,0,128,4.7,0
7,Rasmus Ristolainen,D,2020-2021,BUF,49,4,14,18,-18,36,1,7,0,0,0,0,73,5.5,0
8,Rasmus Ristolainen,D,2021-2022,PHI,66,2,14,16,-9,38,0,1,0,0,0,0,97,2.1,0
9,Rasmus Ristolainen,D,2022-2023,PHI,28,0,1,1,-7,20,0,0,0,0,0,0,28,0,0
