,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Ellis,D,2011-2012,NSH,32,3,8,11,5,4,2,4,0,0,2,0,34,8.82,0
1,Ryan Ellis,D,2012-2013,NSH,32,2,4,6,-2,15,2,2,0,0,0,0,48,4.17,0
2,Ryan Ellis,D,2013-2014,NSH,80,6,21,27,9,24,0,6,0,0,2,0,123,4.88,0
3,Ryan Ellis,D,2014-2015,NSH,58,9,18,27,8,27,2,6,0,0,0,0,118,7.63,0
4,Ryan Ellis,D,2015-2016,NSH,79,10,22,32,13,35,3,7,1,1,2,0,152,6.58,0
5,Ryan Ellis,D,2016-2017,NSH,71,16,22,38,17,29,4,11,1,3,3,0,140,11.43,0
6,Ryan Ellis,D,2017-2018,NSH,44,9,23,32,26,6,2,5,0,3,2,0,110,8.18,0
7,Ryan Ellis,D,2018-2019,NSH,82,7,34,41,21,20,1,5,1,1,2,0,149,4.7,0
8,Ryan Ellis,D,2019-2020,NSH,49,8,30,38,16,19,2,9,0,0,3,2,114,7,0
9,Ryan Ellis,D,2020-2021,NSH,35,5,13,18,1,10,2,4,0,0,0,0,75,6.7,0
10,Ryan Ellis,D,2021-2022,PHI,4,1,4,5,2,0,0,2,0,0,0,0,6,16.7,0
