,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Sean Couturier,C,2011-2012,PHI,77,13,14,27,18,14,0,1,2,2,4,0,116,11.21,47.01
1,Sean Couturier,C,2012-2013,PHI,46,4,11,15,-8,10,0,4,0,0,0,0,75,5.33,43.94
2,Sean Couturier,C,2013-2014,PHI,82,13,26,39,1,45,0,3,1,5,2,0,165,7.88,47.75
3,Sean Couturier,C,2014-2015,PHI,82,15,22,37,4,28,1,6,1,2,0,0,148,10.14,48.35
4,Sean Couturier,C,2015-2016,PHI,63,11,28,39,8,30,2,7,0,1,1,0,119,9.24,48.6
5,Sean Couturier,C,2016-2017,PHI,66,14,20,34,12,33,0,2,0,1,2,0,120,11.67,55.07
6,Sean Couturier,C,2017-2018,PHI,82,31,45,76,34,31,7,14,0,0,6,2,227,13.66,52.85
7,Sean Couturier,C,2018-2019,PHI,80,33,43,76,2,34,8,17,1,1,5,1,223,14.8,57.07
8,Sean Couturier,C,2019-2020,PHI,69,22,37,59,21,30,4,13,0,0,4,1,185,11.9,59.63
9,Sean Couturier,C,2020-2021,PHI,45,18,23,41,-4,8,3,10,0,0,4,0,120,15,56.93
10,Sean Couturier,C,2021-2022,PHI,29,6,11,17,-6,14,2,5,0,1,2,0,79,7.6,55.61
