,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Evgeni Malkin,C,2006-2007,PIT,78,33,52,85,2,80,16,40,0,0,6,1,242,13.64,43.27
1,Evgeni Malkin,C,2007-2008,PIT,82,47,59,106,16,78,17,40,0,0,5,0,272,17.28,39.33
2,Evgeni Malkin,C,2008-2009,PIT,82,35,78,113,17,80,14,41,2,2,4,2,290,12.07,42.37
3,Evgeni Malkin,C,2009-2010,PIT,67,28,49,77,-6,100,13,28,2,3,7,2,268,10.45,39.96
4,Evgeni Malkin,C,2010-2011,PIT,43,15,22,37,-4,18,5,14,0,0,3,0,182,8.24,38.5
5,Evgeni Malkin,C,2011-2012,PIT,75,50,59,109,18,70,12,34,0,0,9,1,339,14.75,47.52
6,Evgeni Malkin,C,2012-2013,PIT,31,9,24,33,5,36,4,18,0,0,3,0,99,9.09,47.22
7,Evgeni Malkin,C,2013-2014,PIT,60,23,49,72,10,62,7,30,0,0,3,0,191,12.04,48.79
8,Evgeni Malkin,C,2014-2015,PIT,69,28,42,70,-2,60,9,26,0,0,4,1,212,13.21,42.65
9,Evgeni Malkin,C,2015-2016,PIT,57,27,31,58,1,65,11,27,0,0,6,2,162,16.67,41.99
10,Evgeni Malkin,C,2016-2017,PIT,62,33,39,72,18,77,11,23,0,0,6,1,191,17.28,43.14
11,Evgeni Malkin,C,2017-2018,PIT,78,42,56,98,16,87,14,38,0,0,7,2,239,17.57,43.73
12,Evgeni Malkin,C,2018-2019,PIT,68,21,51,72,-25,89,9,26,0,0,5,0,187,11.23,45.68
13,Evgeni Malkin,C,2019-2020,PIT,55,25,49,74,7,58,7,24,0,0,5,0,171,14.6,50.34
14,Evgeni Malkin,C,2020-2021,PIT,33,8,20,28,-4,24,4,9,0,0,0,0,72,11.1,42.46
15,Evgeni Malkin,C,2021-2022,PIT,41,20,22,42,-10,24,9,20,0,0,5,1,129,15.5,43.62
16,Evgeni Malkin,C,2022-2023,PIT,33,11,22,33,2,20,4,16,0,0,2,0,99,11.1,53.07
