,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jeff Carter,C,2005-2006,PHI,81,23,19,42,10,40,6,13,2,2,7,0,189,12.17,48.17
1,Jeff Carter,C,2006-2007,PHI,62,14,23,37,-17,48,3,7,2,3,1,0,215,6.51,45.39
2,Jeff Carter,C,2007-2008,PHI,82,29,24,53,6,55,7,18,2,3,5,0,260,11.15,47.68
3,Jeff Carter,C,2008-2009,PHI,82,46,38,84,23,68,13,24,4,4,12,3,342,13.45,48.29
4,Jeff Carter,C,2009-2010,PHI,74,33,28,61,2,38,11,22,2,2,6,0,319,10.34,52.36
5,Jeff Carter,C,2010-2011,PHI,80,36,30,66,27,39,8,17,0,0,7,0,335,10.75,54.71
6,Jeff Carter,C,2011-2012,CBJ,39,15,10,25,-11,14,8,11,0,0,1,0,130,11.54,50.95
7,Jeff Carter,C,2011-2012,LAK,16,6,3,9,-1,2,2,2,0,0,1,0,54,11.11,47.06
8,Jeff Carter,C,2012-2013,LAK,48,26,7,33,0,16,8,10,0,0,8,1,133,19.55,52.6
9,Jeff Carter,C,2013-2014,LAK,72,27,23,50,8,44,8,14,1,1,5,1,256,10.55,52.17
10,Jeff Carter,C,2014-2015,LAK,82,28,34,62,7,28,10,15,1,2,5,0,218,12.84,52.56
11,Jeff Carter,C,2015-2016,LAK,77,24,38,62,18,20,4,12,1,2,6,3,242,9.92,48.7
12,Jeff Carter,C,2016-2017,LAK,82,32,34,66,2,41,10,22,1,1,9,4,250,12.8,51.94
13,Jeff Carter,C,2017-2018,LAK,27,13,9,22,4,2,6,9,1,1,2,1,85,15.29,55.78
14,Jeff Carter,C,2018-2019,LAK,76,13,20,33,-20,42,5,13,1,2,1,0,174,7.47,51.27
15,Jeff Carter,C,2019-2020,LAK,60,17,10,27,-21,36,3,5,0,0,7,1,182,9.3,51.21
16,Jeff Carter,C,2020-2021,LAK,40,8,11,19,-6,22,1,4,0,0,0,0,117,6.8,46.32
17,Jeff Carter,C,2020-2021,PIT,14,9,2,11,9,0,1,1,0,0,1,0,37,24.3,49.77
18,Jeff Carter,C,2021-2022,PIT,76,19,26,45,-8,38,3,6,1,1,2,1,200,9.5,56.99
19,Jeff Carter,C,2022-2023,PIT,30,4,10,14,-2,12,1,5,0,1,1,1,53,7.5,57.62
