,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Rickard Rakell,RW,2012-2013,ANA,4,0,0,0,-2,0,0,0,0,0,0,0,3,0,47.62
1,Rickard Rakell,RW,2013-2014,ANA,18,0,4,4,-3,2,0,0,0,0,0,0,22,0,48.97
2,Rickard Rakell,RW,2014-2015,ANA,71,9,22,31,6,10,2,9,0,0,1,0,105,8.57,46.62
3,Rickard Rakell,RW,2015-2016,ANA,72,20,23,43,-1,19,4,10,0,0,7,2,169,11.83,43.68
4,Rickard Rakell,RW,2016-2017,ANA,71,33,18,51,10,12,5,12,0,0,10,1,177,18.64,42.18
5,Rickard Rakell,RW,2017-2018,ANA,77,34,35,69,6,14,8,18,0,0,3,1,230,14.78,46.46
6,Rickard Rakell,RW,2018-2019,ANA,69,18,25,43,-13,27,6,13,0,0,2,1,194,9.28,35.42
7,Rickard Rakell,RW,2019-2020,ANA,65,15,27,42,-5,12,3,9,0,3,2,1,186,8.1,76.92
8,Rickard Rakell,RW,2020-2021,ANA,52,9,19,28,-14,12,0,4,0,0,1,0,144,6.3,33.33
9,Rickard Rakell,RW,2021-2022,ANA,51,16,12,28,-7,8,5,9,0,0,1,1,136,11.8,44.59
10,Rickard Rakell,RW,2021-2022,PIT,19,4,9,13,7,4,0,1,0,0,1,0,48,8.3,60
11,Rickard Rakell,RW,2022-2023,PIT,33,13,9,22,10,4,4,7,0,0,0,0,102,12.7,60
