,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Sidney Crosby,C,2005-2006,PIT,81,39,63,102,-1,110,16,47,0,2,5,3,278,14.03,45.49
1,Sidney Crosby,C,2006-2007,PIT,79,36,84,120,10,60,13,61,0,0,4,0,250,14.4,49.76
2,Sidney Crosby,C,2007-2008,PIT,53,24,48,72,18,39,6,27,0,1,4,0,173,13.87,51.41
3,Sidney Crosby,C,2008-2009,PIT,77,33,70,103,3,76,7,40,0,1,3,1,238,13.87,51.33
4,Sidney Crosby,C,2009-2010,PIT,81,51,58,109,15,71,13,34,2,3,6,1,298,17.11,55.89
5,Sidney Crosby,C,2010-2011,PIT,41,32,34,66,20,31,10,19,1,1,3,0,161,19.88,55.66
6,Sidney Crosby,C,2011-2012,PIT,22,8,29,37,15,14,2,11,0,0,3,0,75,10.67,50.11
7,Sidney Crosby,C,2012-2013,PIT,36,15,41,56,26,16,3,17,0,0,1,0,124,12.1,54.32
8,Sidney Crosby,C,2013-2014,PIT,80,36,68,104,18,46,11,38,0,0,5,1,259,13.9,52.52
9,Sidney Crosby,C,2014-2015,PIT,77,28,56,84,5,47,10,31,0,0,3,1,237,11.81,49.91
10,Sidney Crosby,C,2015-2016,PIT,80,36,49,85,19,42,10,24,0,0,9,2,248,14.52,51.7
11,Sidney Crosby,C,2016-2017,PIT,75,44,45,89,17,24,14,25,0,0,5,1,255,17.25,48.17
12,Sidney Crosby,C,2017-2018,PIT,82,29,60,89,0,46,9,38,0,0,6,3,247,11.74,53.02
13,Sidney Crosby,C,2018-2019,PIT,79,35,65,100,18,36,12,29,0,2,3,1,220,15.91,55.42
14,Sidney Crosby,C,2019-2020,PIT,41,16,31,47,-8,15,4,17,0,0,4,2,109,14.7,55.63
15,Sidney Crosby,C,2020-2021,PIT,55,24,38,62,8,26,5,22,1,1,5,2,159,15.1,53.57
16,Sidney Crosby,C,2021-2022,PIT,69,31,53,84,19,32,8,30,0,0,9,1,208,14.9,52.41
17,Sidney Crosby,C,2022-2023,PIT,33,19,24,43,4,16,3,10,0,0,6,0,97,19.6,52.65
