,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jamie Oleksiak,D,2012-2013,DAL,16,0,2,2,-5,14,0,0,0,0,0,0,11,0,0
1,Jamie Oleksiak,D,2013-2014,DAL,7,0,0,0,-3,2,0,0,0,0,0,0,5,0,0
2,Jamie Oleksiak,D,2014-2015,DAL,36,1,7,8,0,8,0,0,0,0,0,0,36,2.78,0
3,Jamie Oleksiak,D,2015-2016,DAL,19,0,2,2,-5,21,0,0,0,0,0,0,13,0,0
4,Jamie Oleksiak,D,2016-2017,DAL,41,5,2,7,-4,37,0,0,0,1,1,0,33,15.15,0
5,Jamie Oleksiak,D,2017-2018,DAL,21,1,2,3,-6,18,0,0,0,0,0,0,17,5.88,0
6,Jamie Oleksiak,D,2017-2018,PIT,47,4,10,14,13,69,1,1,0,0,1,0,64,6.25,0
7,Jamie Oleksiak,D,2018-2019,PIT,36,4,7,11,5,37,0,0,0,0,0,0,35,11.43,0
8,Jamie Oleksiak,D,2018-2019,DAL,21,0,1,1,0,8,0,0,0,0,0,0,20,0,0
9,Jamie Oleksiak,D,2019-2020,DAL,69,3,7,10,-6,41,0,0,0,0,1,0,76,3.9,0
10,Jamie Oleksiak,D,2020-2021,DAL,56,6,8,14,-3,35,0,0,0,0,2,0,84,7.1,0
11,Jamie Oleksiak,D,2021-2022,SEA,72,1,16,17,-1,54,0,0,0,1,0,0,95,1.1,0
12,Jamie Oleksiak,D,2022-2023,SEA,25,4,3,7,3,33,0,0,0,0,0,0,15,26.7,0
