,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jordan Eberle,RW,2010-2011,EDM,69,18,25,43,-12,22,4,11,2,2,5,0,158,11.39,42.31
1,Jordan Eberle,RW,2011-2012,EDM,78,34,42,76,4,10,10,20,0,0,4,0,180,18.89,44.44
2,Jordan Eberle,RW,2012-2013,EDM,48,16,21,37,-4,16,3,9,0,0,3,0,133,12.03,42.11
3,Jordan Eberle,RW,2013-2014,EDM,80,28,37,65,-11,18,7,20,1,1,4,1,200,14,38.1
4,Jordan Eberle,RW,2014-2015,EDM,81,24,39,63,-16,24,6,21,0,0,2,0,183,13.11,16.67
5,Jordan Eberle,RW,2015-2016,EDM,69,25,22,47,-12,14,7,11,0,0,4,1,173,14.45,62.5
6,Jordan Eberle,RW,2016-2017,EDM,82,20,31,51,3,16,4,14,0,0,0,0,208,9.62,50
7,Jordan Eberle,RW,2017-2018,NYI,81,25,34,59,5,21,3,10,0,0,7,1,183,13.66,36.36
8,Jordan Eberle,RW,2018-2019,NYI,78,19,18,37,-6,17,7,12,0,0,5,0,160,11.88,45
9,Jordan Eberle,RW,2019-2020,NYI,58,16,24,40,1,12,4,11,0,0,1,0,136,11.8,33.33
10,Jordan Eberle,RW,2020-2021,NYI,55,16,17,33,9,16,1,5,0,0,2,0,128,12.5,42.86
11,Jordan Eberle,RW,2021-2022,SEA,79,21,23,44,-28,14,4,9,0,0,2,0,164,12.8,30
12,Jordan Eberle,RW,2022-2023,SEA,32,8,17,25,7,12,1,6,0,0,2,1,72,11.1,50
