,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Logan Couture,C,2009-2010,SJS,25,5,4,9,4,6,1,1,0,0,1,0,42,11.9,52.45
1,Logan Couture,C,2010-2011,SJS,79,32,24,56,18,41,10,14,0,0,8,1,253,12.65,53.38
2,Logan Couture,C,2011-2012,SJS,80,31,34,65,2,16,11,26,2,2,5,0,245,12.65,51.43
3,Logan Couture,C,2012-2013,SJS,48,21,16,37,7,4,7,12,0,1,5,0,151,13.91,51.53
4,Logan Couture,C,2013-2014,SJS,65,23,31,54,21,20,4,13,2,4,6,0,233,9.87,50.42
5,Logan Couture,C,2014-2015,SJS,82,27,40,67,-6,12,6,24,2,2,4,0,263,10.27,48.18
6,Logan Couture,C,2015-2016,SJS,52,15,21,36,2,20,5,15,0,0,4,0,137,10.95,47.05
7,Logan Couture,C,2016-2017,SJS,73,25,27,52,11,12,11,15,0,1,3,0,174,14.37,39.44
8,Logan Couture,C,2017-2018,SJS,78,34,27,61,-2,18,10,21,2,3,4,1,204,16.67,45.85
9,Logan Couture,C,2018-2019,SJS,81,27,43,70,-6,22,6,18,2,2,3,0,204,13.24,46.31
10,Logan Couture,C,2019-2020,SJS,52,16,23,39,0,18,0,9,0,2,3,3,126,12.7,44.02
11,Logan Couture,C,2020-2021,SJS,53,17,14,31,-11,25,2,6,1,1,2,0,114,14.9,49.33
12,Logan Couture,C,2021-2022,SJS,77,23,33,56,-11,18,5,17,2,3,3,1,199,11.6,48.71
13,Logan Couture,C,2022-2023,SJS,35,14,14,28,-12,11,3,10,1,1,0,0,79,17.7,45.98
