,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Marc-Edouard Vlasic,D,2006-2007,SJS,81,3,23,26,13,18,2,12,0,1,0,0,66,4.55,0
1,Marc-Edouard Vlasic,D,2007-2008,SJS,82,2,12,14,-12,24,1,5,0,0,0,0,72,2.78,0
2,Marc-Edouard Vlasic,D,2008-2009,SJS,82,6,30,36,15,42,3,21,0,1,1,0,104,5.77,0
3,Marc-Edouard Vlasic,D,2009-2010,SJS,64,3,13,16,21,33,1,2,0,0,0,0,74,4.05,0
4,Marc-Edouard Vlasic,D,2010-2011,SJS,80,4,14,18,14,18,0,1,0,0,2,0,116,3.45,0
5,Marc-Edouard Vlasic,D,2011-2012,SJS,82,4,19,23,11,40,0,1,0,1,1,0,119,3.36,0
6,Marc-Edouard Vlasic,D,2012-2013,SJS,48,3,4,7,5,29,0,0,0,0,0,0,59,5.08,0
7,Marc-Edouard Vlasic,D,2013-2014,SJS,81,5,19,24,31,38,0,1,1,2,0,0,138,3.62,0
8,Marc-Edouard Vlasic,D,2014-2015,SJS,70,9,14,23,12,23,0,3,0,0,3,1,98,9.18,0
9,Marc-Edouard Vlasic,D,2015-2016,SJS,67,8,31,39,15,48,2,10,0,2,0,0,116,6.9,0
10,Marc-Edouard Vlasic,D,2016-2017,SJS,75,6,22,28,4,35,1,7,0,1,2,1,144,4.17,0
11,Marc-Edouard Vlasic,D,2017-2018,SJS,81,11,21,32,9,34,1,3,0,1,2,1,161,6.83,0
12,Marc-Edouard Vlasic,D,2018-2019,SJS,72,3,22,25,-6,10,0,1,0,0,0,0,100,3,0
13,Marc-Edouard Vlasic,D,2019-2020,SJS,70,5,10,15,-10,10,0,0,1,1,1,0,74,6.8,0
14,Marc-Edouard Vlasic,D,2020-2021,SJS,51,1,5,6,-8,8,0,0,0,0,0,0,37,2.7,0
15,Marc-Edouard Vlasic,D,2021-2022,SJS,75,3,11,14,-22,18,0,0,0,0,0,0,63,4.8,0
16,Marc-Edouard Vlasic,D,2022-2023,SJS,35,0,8,8,-11,0,0,0,0,0,0,0,28,0,0
