,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Josh Leivo,LW,2013-2014,TOR,7,1,1,2,0,0,0,0,0,0,0,0,4,25,0
1,Josh Leivo,LW,2014-2015,TOR,9,1,0,1,-1,4,0,0,0,0,0,0,10,10,0
2,Josh Leivo,LW,2015-2016,TOR,12,5,0,5,2,6,1,1,0,0,1,0,20,25,50
3,Josh Leivo,LW,2016-2017,TOR,13,2,8,10,2,4,1,3,0,0,0,0,27,7.41,50
4,Josh Leivo,LW,2017-2018,TOR,16,1,3,4,0,6,0,0,0,0,0,0,25,4,66.67
5,Josh Leivo,LW,2018-2019,TOR,27,4,2,6,1,7,2,3,0,0,2,0,38,10.53,39.29
6,Josh Leivo,LW,2018-2019,VAN,49,10,8,18,4,25,1,4,0,0,0,0,113,8.85,30.77
7,Josh Leivo,LW,2019-2020,VAN,36,7,12,19,0,4,0,5,0,0,0,0,69,10.1,58.82
8,Josh Leivo,LW,2020-2021,CGY,38,6,3,9,-3,10,0,0,0,0,2,0,50,12,25
9,Josh Leivo,LW,2021-2022,CAR,7,1,2,3,1,2,0,0,0,0,0,0,10,10,0
10,Josh Leivo,LW,2022-2023,STL,24,2,7,9,-1,2,0,0,0,0,0,0,48,4.2,0
