,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Leddy,D,2010-2011,CHI,46,4,3,7,-3,4,0,1,0,0,0,0,37,10.81,0
1,Nick Leddy,D,2011-2012,CHI,82,3,34,37,-12,10,0,11,0,0,0,0,94,3.19,0
2,Nick Leddy,D,2012-2013,CHI,48,6,12,18,15,10,2,8,0,0,2,1,65,9.23,0
3,Nick Leddy,D,2013-2014,CHI,82,7,24,31,10,10,4,10,0,0,1,0,123,5.69,0
4,Nick Leddy,D,2014-2015,NYI,78,10,27,37,18,14,1,12,0,1,1,0,120,8.33,0
5,Nick Leddy,D,2015-2016,NYI,81,5,35,40,-9,25,3,19,0,0,1,0,121,4.13,0
6,Nick Leddy,D,2016-2017,NYI,81,11,35,46,-3,12,3,15,0,0,1,0,137,8.03,0
7,Nick Leddy,D,2017-2018,NYI,80,10,32,42,-42,20,4,14,0,0,1,1,153,6.54,0
8,Nick Leddy,D,2018-2019,NYI,82,4,22,26,0,18,0,10,0,0,0,0,116,3.45,0
9,Nick Leddy,D,2019-2020,NYI,60,3,18,21,-1,14,1,4,0,0,0,0,72,4.2,0
10,Nick Leddy,D,2020-2021,NYI,56,2,29,31,-3,8,1,11,0,0,1,1,79,2.5,0
11,Nick Leddy,D,2021-2022,DET,55,1,15,16,-33,16,0,5,0,0,0,0,52,1.9,0
12,Nick Leddy,D,2021-2022,STL,20,2,6,8,3,6,0,1,0,0,0,0,19,10.5,0
13,Nick Leddy,D,2022-2023,STL,34,0,11,11,-5,10,0,0,0,0,0,0,36,0,0
