,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan O'Reilly,C,2009-2010,COL,81,8,18,26,4,18,0,0,2,2,2,0,135,5.93,47.83
1,Ryan O'Reilly,C,2010-2011,COL,74,13,13,26,-7,16,2,4,1,2,0,0,119,10.92,51.8
2,Ryan O'Reilly,C,2011-2012,COL,81,18,37,55,-1,12,4,15,0,0,3,2,189,9.52,52.81
3,Ryan O'Reilly,C,2012-2013,COL,29,6,14,20,-3,4,3,6,0,0,0,0,66,9.09,52.85
4,Ryan O'Reilly,C,2013-2014,COL,80,28,36,64,-1,2,9,22,0,0,6,2,201,13.93,51.75
5,Ryan O'Reilly,C,2014-2015,COL,82,17,38,55,-5,12,2,12,1,2,1,1,171,9.94,53.45
6,Ryan O'Reilly,C,2015-2016,BUF,71,21,39,60,-16,8,8,22,1,1,2,1,157,13.38,56.51
7,Ryan O'Reilly,C,2016-2017,BUF,72,20,35,55,-1,10,8,24,1,2,3,0,189,10.58,58.01
8,Ryan O'Reilly,C,2017-2018,BUF,81,24,37,61,-23,2,15,23,0,4,3,1,230,10.43,59.98
9,Ryan O'Reilly,C,2018-2019,STL,82,28,49,77,22,12,6,22,1,3,5,2,234,11.97,56.86
10,Ryan O'Reilly,C,2019-2020,STL,71,12,49,61,11,10,2,18,1,1,3,1,118,10.2,56.56
11,Ryan O'Reilly,C,2020-2021,STL,56,24,30,54,26,18,4,12,2,2,4,2,129,18.6,58.78
12,Ryan O'Reilly,C,2021-2022,STL,78,21,37,58,11,12,9,16,0,1,0,0,168,12.5,56.78
13,Ryan O'Reilly,C,2022-2023,STL,34,9,6,15,-26,6,1,2,1,1,2,0,65,13.8,52.85
