,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyler Pitlick,C,2013-2014,EDM,10,1,0,1,-2,0,0,0,0,0,0,0,9,11.11,33.33
1,Tyler Pitlick,C,2014-2015,EDM,17,2,0,2,-3,4,0,0,0,0,1,0,18,11.11,55.56
2,Tyler Pitlick,C,2016-2017,EDM,31,8,3,11,0,6,0,0,0,0,1,0,54,14.81,53.33
3,Tyler Pitlick,C,2017-2018,DAL,80,14,13,27,9,34,0,0,0,1,2,0,129,10.85,27.66
4,Tyler Pitlick,C,2018-2019,DAL,47,8,4,12,-2,6,1,1,0,0,1,0,75,10.67,41.67
5,Tyler Pitlick,C,2019-2020,PHI,63,8,12,20,11,12,0,0,0,0,1,0,76,10.5,27.78
6,Tyler Pitlick,C,2020-2021,ARI,38,6,5,11,-1,16,0,1,1,1,0,0,56,10.7,40
7,Tyler Pitlick,C,2021-2022,CGY,25,0,2,2,-5,2,0,0,0,0,0,0,19,0,25
8,Tyler Pitlick,C,2021-2022,MTL,14,1,2,3,-6,4,0,0,0,0,0,0,17,5.9,50
9,Tyler Pitlick,C,2022-2023,STL,22,1,1,2,-1,2,0,0,0,0,0,0,12,8.3,0
