,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alex Killorn,LW,2012-2013,TBL,38,7,12,19,-6,14,1,3,0,0,2,0,82,8.54,39.29
1,Alex Killorn,LW,2013-2014,TBL,82,17,24,41,8,63,3,8,0,0,2,1,173,9.83,43.02
2,Alex Killorn,LW,2014-2015,TBL,71,15,23,38,8,36,1,3,1,1,5,0,130,11.54,43.75
3,Alex Killorn,LW,2015-2016,TBL,81,14,26,40,14,44,3,6,0,1,3,1,154,9.09,38.75
4,Alex Killorn,LW,2016-2017,TBL,81,19,17,36,-9,66,4,10,1,2,4,0,176,10.8,33.33
5,Alex Killorn,LW,2017-2018,TBL,82,15,32,47,22,45,2,9,0,0,1,0,156,9.62,40
6,Alex Killorn,LW,2018-2019,TBL,82,18,22,40,22,45,2,5,1,2,2,1,153,11.76,20
7,Alex Killorn,LW,2019-2020,TBL,68,26,23,49,19,20,8,13,0,0,7,0,130,20,26.32
8,Alex Killorn,LW,2020-2021,TBL,56,15,18,33,-1,37,5,9,0,1,1,1,121,12.4,33.33
9,Alex Killorn,LW,2021-2022,TBL,82,25,34,59,1,66,6,14,0,0,2,0,164,15.2,16.67
10,Alex Killorn,LW,2022-2023,TBL,32,9,14,23,7,10,0,2,0,0,2,2,52,17.3,0
