,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Corey Perry,RW,2005-2006,ANA,56,13,12,25,1,50,4,11,0,0,2,0,98,13.27,27.27
1,Corey Perry,RW,2006-2007,ANA,82,17,27,44,12,55,4,20,0,0,3,0,194,8.76,42.86
2,Corey Perry,RW,2007-2008,ANA,70,29,25,54,12,108,11,17,0,0,4,0,200,14.5,18.75
3,Corey Perry,RW,2008-2009,ANA,78,32,40,72,10,109,10,24,0,0,8,0,283,11.31,29.03
4,Corey Perry,RW,2009-2010,ANA,82,27,49,76,0,111,6,23,1,2,2,0,270,10,21.43
5,Corey Perry,RW,2010-2011,ANA,82,50,48,98,9,104,14,31,4,5,11,2,290,17.24,40.91
6,Corey Perry,RW,2011-2012,ANA,80,37,23,60,-7,127,14,23,1,2,6,1,277,13.36,39.58
7,Corey Perry,RW,2012-2013,ANA,44,15,21,36,10,72,5,10,0,1,5,1,128,11.72,20.69
8,Corey Perry,RW,2013-2014,ANA,81,43,39,82,32,65,8,18,0,0,9,1,280,15.36,36
9,Corey Perry,RW,2014-2015,ANA,67,33,22,55,13,67,4,7,0,0,3,1,193,17.1,25
10,Corey Perry,RW,2015-2016,ANA,82,34,28,62,2,68,12,24,0,0,6,0,215,15.81,20
11,Corey Perry,RW,2016-2017,ANA,82,19,34,53,2,76,5,20,0,0,3,0,215,8.84,35
12,Corey Perry,RW,2017-2018,ANA,71,17,32,49,-4,71,4,11,0,0,1,0,168,10.12,12.5
13,Corey Perry,RW,2018-2019,ANA,31,6,4,10,-16,27,2,4,0,0,1,0,59,10.17,0
14,Corey Perry,RW,2019-2020,DAL,57,5,16,21,-2,70,1,7,0,0,0,0,77,6.5,40
15,Corey Perry,RW,2020-2021,MTL,49,9,12,21,-4,39,1,7,0,0,1,0,62,14.5,0
16,Corey Perry,RW,2021-2022,TBL,82,19,21,40,9,66,6,8,0,0,4,0,153,12.4,50
17,Corey Perry,RW,2022-2023,TBL,32,5,9,14,-10,27,3,9,0,0,1,0,55,9.1,0
