,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ian Cole,D,2010-2011,STL,26,1,3,4,6,35,0,0,0,0,0,0,22,4.55,0
1,Ian Cole,D,2011-2012,STL,26,1,5,6,7,22,0,0,0,0,0,0,18,5.56,0
2,Ian Cole,D,2012-2013,STL,15,0,1,1,-4,10,0,0,0,0,0,0,10,0,0
3,Ian Cole,D,2013-2014,STL,46,3,8,11,15,31,0,2,0,0,0,0,45,6.67,0
4,Ian Cole,D,2014-2015,STL,54,4,5,9,16,44,0,0,0,0,0,0,52,7.69,0
5,Ian Cole,D,2014-2015,PIT,20,1,7,8,-2,7,0,1,0,0,0,0,31,3.23,0
6,Ian Cole,D,2015-2016,PIT,70,0,12,12,-3,59,0,1,0,0,0,0,72,0,0
7,Ian Cole,D,2016-2017,PIT,81,5,21,26,26,72,0,1,0,0,1,0,89,5.62,0
8,Ian Cole,D,2017-2018,PIT,47,3,10,13,3,52,0,1,0,0,0,0,63,4.76,0
9,Ian Cole,D,2017-2018,CBJ,20,2,5,7,11,24,0,0,0,0,0,0,21,9.52,0
10,Ian Cole,D,2018-2019,COL,71,2,13,15,-1,115,0,0,0,0,0,0,82,2.44,0
11,Ian Cole,D,2019-2020,COL,65,4,22,26,21,36,0,0,0,0,1,0,92,4.3,0
12,Ian Cole,D,2020-2021,COL,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
13,Ian Cole,D,2020-2021,MIN,52,1,7,8,21,32,0,0,0,0,1,0,28,3.6,0
14,Ian Cole,D,2021-2022,CAR,75,2,17,19,15,83,0,0,0,1,1,0,77,2.6,0
15,Ian Cole,D,2022-2023,TBL,29,3,9,12,14,24,0,0,0,0,0,0,45,6.7,0
