,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Pat Maroon,LW,2011-2012,ANA,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0
1,Pat Maroon,LW,2012-2013,ANA,13,2,1,3,-1,10,0,0,0,0,0,0,21,9.52,28.57
2,Pat Maroon,LW,2013-2014,ANA,62,11,18,29,11,101,1,4,0,0,3,0,93,11.83,46.67
3,Pat Maroon,LW,2014-2015,ANA,71,9,25,34,-5,82,1,7,0,0,1,0,120,7.5,33.33
4,Pat Maroon,LW,2015-2016,ANA,56,4,9,13,-13,54,3,4,0,0,0,0,65,6.15,32.65
5,Pat Maroon,LW,2015-2016,EDM,16,8,6,14,6,34,2,4,0,0,1,0,39,20.51,25
6,Pat Maroon,LW,2016-2017,EDM,81,27,15,42,13,95,3,6,0,0,5,0,178,15.17,40
7,Pat Maroon,LW,2017-2018,EDM,57,14,16,30,5,60,0,3,0,0,3,0,121,11.57,47.37
8,Pat Maroon,LW,2017-2018,NJD,17,3,10,13,-4,13,1,4,0,0,1,0,20,15,40
9,Pat Maroon,LW,2018-2019,STL,74,10,18,28,-3,64,2,11,0,0,3,0,118,8.47,40
10,Pat Maroon,LW,2019-2020,TBL,64,9,14,23,4,71,1,3,0,0,1,0,80,11.3,66.67
11,Pat Maroon,LW,2020-2021,TBL,55,4,14,18,2,60,2,4,0,0,0,0,46,8.7,16.67
12,Pat Maroon,LW,2021-2022,TBL,81,11,16,27,20,134,3,6,0,0,0,0,102,10.8,50
13,Pat Maroon,LW,2022-2023,TBL,32,1,4,5,-5,49,0,1,0,0,0,0,28,3.6,33.33
