,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Steven Stamkos,C,2008-2009,TBL,79,23,23,46,-13,39,9,17,0,0,1,0,181,12.71,45.42
1,Steven Stamkos,C,2009-2010,TBL,82,51,44,95,-2,38,24,41,1,1,5,1,297,17.17,47.91
2,Steven Stamkos,C,2010-2011,TBL,82,45,46,91,3,74,17,36,0,0,8,1,272,16.54,46.49
3,Steven Stamkos,C,2011-2012,TBL,82,60,37,97,7,66,12,25,0,0,12,5,303,19.8,45.48
4,Steven Stamkos,C,2012-2013,TBL,48,29,28,57,-4,32,10,18,0,0,2,0,157,18.47,49.57
5,Steven Stamkos,C,2013-2014,TBL,37,25,15,40,9,18,9,13,1,1,5,1,124,20.16,49.15
6,Steven Stamkos,C,2014-2015,TBL,82,43,29,72,2,49,13,25,0,0,6,0,268,16.04,49.73
7,Steven Stamkos,C,2015-2016,TBL,77,36,28,64,3,38,14,23,1,3,8,0,216,16.67,49.95
8,Steven Stamkos,C,2016-2017,TBL,17,9,11,20,3,14,3,7,0,0,1,0,58,15.52,53.54
9,Steven Stamkos,C,2017-2018,TBL,78,27,59,86,18,72,15,33,0,0,1,0,212,12.74,52.24
10,Steven Stamkos,C,2018-2019,TBL,82,45,53,98,4,37,19,40,2,2,6,0,234,19.23,53.1
11,Steven Stamkos,C,2019-2020,TBL,57,29,37,66,14,22,10,19,0,0,6,0,176,16.5,54.32
12,Steven Stamkos,C,2020-2021,TBL,38,17,17,34,4,16,10,15,0,1,1,0,91,18.7,57.21
13,Steven Stamkos,C,2021-2022,TBL,81,42,64,106,24,36,16,36,0,0,11,3,241,17.4,51.03
14,Steven Stamkos,C,2022-2023,TBL,32,16,22,38,3,16,7,15,0,0,2,2,109,14.7,52.32
