,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Victor Hedman,D,2009-2010,TBL,74,4,16,20,-3,79,0,1,0,0,0,0,90,4.44,0
1,Victor Hedman,D,2010-2011,TBL,79,3,23,26,3,70,0,3,0,0,0,0,101,2.97,0
2,Victor Hedman,D,2011-2012,TBL,61,5,18,23,-9,65,0,4,0,1,0,0,82,6.1,0
3,Victor Hedman,D,2012-2013,TBL,44,4,16,20,1,31,0,2,0,0,0,0,76,5.26,0
4,Victor Hedman,D,2013-2014,TBL,75,13,42,55,5,53,3,14,0,6,2,0,170,7.65,0
5,Victor Hedman,D,2014-2015,TBL,59,10,28,38,12,40,3,11,0,0,2,1,115,8.7,0
6,Victor Hedman,D,2015-2016,TBL,78,10,37,47,21,46,1,11,0,1,0,0,180,5.56,0
7,Victor Hedman,D,2016-2017,TBL,79,16,56,72,3,47,4,33,0,0,5,2,166,9.64,0
8,Victor Hedman,D,2017-2018,TBL,77,17,46,63,32,54,2,26,0,2,1,0,216,7.87,50
9,Victor Hedman,D,2018-2019,TBL,70,12,42,54,24,44,2,25,0,1,4,2,182,6.59,0
10,Victor Hedman,D,2019-2020,TBL,66,11,44,55,27,31,4,22,0,0,3,0,155,7.1,0
11,Victor Hedman,D,2020-2021,TBL,54,9,36,45,5,28,1,24,0,0,2,2,136,6.6,0
12,Victor Hedman,D,2021-2022,TBL,82,20,65,85,26,36,6,38,0,0,6,1,219,9.1,0
13,Victor Hedman,D,2022-2023,TBL,30,1,17,18,2,12,0,6,0,0,0,0,61,1.6,0
