,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Zach Bogosian,D,2008-2009,ATL,47,9,10,19,11,47,2,5,1,1,1,0,90,10,0
1,Zach Bogosian,D,2009-2010,ATL,81,10,13,23,-18,61,3,6,1,2,0,0,155,6.45,0
2,Zach Bogosian,D,2010-2011,ATL,71,5,12,17,-27,29,0,4,0,0,1,1,155,3.23,0
3,Zach Bogosian,D,2011-2012,WPG,65,5,25,30,-3,71,1,7,0,0,0,0,150,3.33,0
4,Zach Bogosian,D,2012-2013,WPG,33,5,9,14,-5,29,0,3,0,0,0,0,85,5.88,0
5,Zach Bogosian,D,2013-2014,WPG,55,3,8,11,3,48,0,1,0,0,0,0,134,2.24,0
6,Zach Bogosian,D,2014-2015,WPG,41,3,10,13,1,40,0,1,0,0,0,0,74,4.05,0
7,Zach Bogosian,D,2014-2015,BUF,21,0,7,7,-7,38,0,1,0,0,0,0,51,0,0
8,Zach Bogosian,D,2015-2016,BUF,64,7,17,24,-11,68,3,6,0,1,1,0,121,5.79,0
9,Zach Bogosian,D,2016-2017,BUF,56,2,9,11,-17,46,0,1,0,0,1,1,73,2.74,0
10,Zach Bogosian,D,2017-2018,BUF,18,0,1,1,-9,20,0,0,0,0,0,0,29,0,0
11,Zach Bogosian,D,2018-2019,BUF,65,3,16,19,-5,52,0,1,1,1,0,0,93,3.23,0
12,Zach Bogosian,D,2019-2020,BUF,19,1,4,5,0,10,0,0,0,0,0,0,18,5.6,0
13,Zach Bogosian,D,2019-2020,TBL,8,0,2,2,0,12,0,0,0,1,0,0,11,0,0
14,Zach Bogosian,D,2020-2021,TOR,45,0,4,4,7,49,0,0,0,0,0,0,36,0,0
15,Zach Bogosian,D,2021-2022,TBL,48,3,5,8,2,53,0,0,0,0,1,0,60,5,0
16,Zach Bogosian,D,2022-2023,TBL,10,0,0,0,-4,4,0,0,0,0,0,0,7,0,0
