,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Calle Jarnkrok,C,2013-2014,NSH,12,2,7,9,7,4,0,1,0,0,0,0,13,15.38,39.46
1,Calle Jarnkrok,C,2014-2015,NSH,74,7,11,18,2,18,0,0,0,1,1,0,95,7.37,46.18
2,Calle Jarnkrok,C,2015-2016,NSH,81,16,14,30,1,14,3,4,1,1,4,0,125,12.8,45.81
3,Calle Jarnkrok,C,2016-2017,NSH,81,15,16,31,-1,25,2,4,1,3,1,1,134,11.19,49.4
4,Calle Jarnkrok,C,2017-2018,NSH,68,16,19,35,20,12,1,4,2,2,3,1,105,15.24,51.25
5,Calle Jarnkrok,C,2018-2019,NSH,79,10,16,26,13,12,1,2,1,1,1,0,106,9.43,50.15
6,Calle Jarnkrok,C,2019-2020,NSH,64,15,19,34,4,14,2,9,2,2,1,0,136,11,47.14
7,Calle Jarnkrok,C,2020-2021,NSH,49,13,15,28,13,14,2,8,1,1,2,0,91,14.3,43.16
8,Calle Jarnkrok,C,2021-2022,SEA,49,12,14,26,-15,2,2,5,0,0,1,0,82,14.6,49.43
9,Calle Jarnkrok,C,2021-2022,CGY,17,0,4,4,1,4,0,1,0,0,0,0,19,0,53.4
10,Calle Jarnkrok,C,2022-2023,TOR,27,6,5,11,0,10,0,0,1,1,0,0,38,15.8,46
