,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jake Muzzin,D,2010-2011,LAK,11,0,1,1,-2,0,0,0,0,0,0,0,8,0,0
1,Jake Muzzin,D,2012-2013,LAK,45,7,9,16,16,35,3,7,0,0,1,0,77,9.09,0
2,Jake Muzzin,D,2013-2014,LAK,76,5,19,24,8,58,1,5,0,0,0,0,175,2.86,0
3,Jake Muzzin,D,2014-2015,LAK,76,10,31,41,-4,22,4,14,0,1,3,0,173,5.78,0
4,Jake Muzzin,D,2015-2016,LAK,82,8,32,40,7,64,1,13,0,1,1,0,203,3.94,0
5,Jake Muzzin,D,2016-2017,LAK,82,9,19,28,-21,46,4,10,0,0,1,0,184,4.89,0
6,Jake Muzzin,D,2017-2018,LAK,74,8,34,42,10,40,4,14,0,1,1,0,154,5.19,0
7,Jake Muzzin,D,2018-2019,LAK,50,4,17,21,10,33,0,2,0,0,0,0,78,5.13,0
8,Jake Muzzin,D,2018-2019,TOR,30,5,11,16,11,14,1,3,0,1,1,0,63,7.94,0
9,Jake Muzzin,D,2019-2020,TOR,53,6,17,23,12,40,0,0,0,1,1,0,99,6.1,0
10,Jake Muzzin,D,2020-2021,TOR,53,4,23,27,21,29,1,2,1,1,0,0,103,3.9,0
11,Jake Muzzin,D,2021-2022,TOR,47,3,11,14,-6,16,0,0,0,1,0,0,75,4,0
12,Jake Muzzin,D,2022-2023,TOR,4,0,1,1,0,2,0,0,0,0,0,0,8,0,0
