,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,John Tavares,C,2009-2010,NYI,82,24,30,54,-15,22,11,25,0,0,2,0,186,12.9,47.48
1,John Tavares,C,2010-2011,NYI,79,29,38,67,-16,53,9,24,0,0,4,3,243,11.93,52.54
2,John Tavares,C,2011-2012,NYI,82,31,50,81,-6,26,7,25,0,0,8,1,286,10.84,51.32
3,John Tavares,C,2012-2013,NYI,48,28,19,47,-2,18,9,16,0,0,5,0,162,17.28,49.35
4,John Tavares,C,2013-2014,NYI,59,24,42,66,-6,40,8,25,0,0,4,0,188,12.77,49.07
5,John Tavares,C,2014-2015,NYI,82,38,48,86,5,46,13,31,0,1,8,4,278,13.67,52.22
6,John Tavares,C,2015-2016,NYI,78,33,37,70,6,38,7,19,0,0,5,0,250,13.2,54.09
7,John Tavares,C,2016-2017,NYI,77,28,38,66,4,38,7,18,1,2,3,1,260,10.77,50.61
8,John Tavares,C,2017-2018,NYI,82,37,47,84,-12,26,12,30,2,3,3,2,257,14.4,52.9
9,John Tavares,C,2018-2019,TOR,82,47,41,88,19,34,10,19,0,0,8,1,286,16.43,54.45
10,John Tavares,C,2019-2020,TOR,63,26,34,60,-7,24,7,21,0,0,4,3,197,13.2,55.29
11,John Tavares,C,2020-2021,TOR,56,19,31,50,12,14,6,12,0,0,2,0,163,11.7,55.28
12,John Tavares,C,2021-2022,TOR,79,27,49,76,-8,32,10,26,0,0,3,0,237,11.4,60.58
13,John Tavares,C,2022-2023,TOR,34,14,17,31,-1,14,7,16,0,0,2,0,115,12.2,60.11
