,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mark Giordano,D,2005-2006,CGY,7,0,1,1,2,8,0,1,0,0,0,0,5,0,0
1,Mark Giordano,D,2006-2007,CGY,48,7,8,15,7,36,3,5,0,0,2,1,49,14.29,0
2,Mark Giordano,D,2008-2009,CGY,58,2,17,19,2,59,2,6,0,0,0,0,82,2.44,0
3,Mark Giordano,D,2009-2010,CGY,82,11,19,30,17,81,5,14,0,0,1,0,111,9.91,0
4,Mark Giordano,D,2010-2011,CGY,82,8,35,43,-8,67,5,25,0,0,1,0,165,4.85,0
5,Mark Giordano,D,2011-2012,CGY,61,9,18,27,0,75,5,10,0,1,0,0,125,7.2,0
6,Mark Giordano,D,2012-2013,CGY,47,4,11,15,-7,40,1,3,1,2,1,1,58,6.9,0
7,Mark Giordano,D,2013-2014,CGY,64,14,33,47,12,63,7,20,0,3,2,0,180,7.78,0
8,Mark Giordano,D,2014-2015,CGY,61,11,37,48,13,37,2,14,1,1,2,1,157,7.01,0
9,Mark Giordano,D,2015-2016,CGY,82,21,35,56,-5,54,9,19,1,3,2,1,212,9.91,0
10,Mark Giordano,D,2016-2017,CGY,81,12,27,39,22,59,3,14,2,3,4,1,151,7.95,0
11,Mark Giordano,D,2017-2018,CGY,82,13,25,38,0,63,1,10,1,1,4,2,214,6.07,0
12,Mark Giordano,D,2018-2019,CGY,78,17,57,74,39,69,3,21,4,6,2,0,221,7.69,0
13,Mark Giordano,D,2019-2020,CGY,60,5,26,31,2,34,2,11,0,2,0,0,157,3.2,0
14,Mark Giordano,D,2020-2021,CGY,56,9,17,26,5,14,4,8,0,0,2,0,142,6.3,0
15,Mark Giordano,D,2021-2022,SEA,55,6,17,23,-21,47,0,8,2,2,0,0,123,4.9,0
16,Mark Giordano,D,2021-2022,TOR,20,2,10,12,12,10,0,4,0,0,1,1,28,7.1,0
17,Mark Giordano,D,2022-2023,TOR,34,1,9,10,13,31,0,0,1,1,1,0,43,2.3,0
