,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Morgan Rielly,D,2013-2014,TOR,73,2,25,27,-13,12,1,12,0,0,0,0,96,2.08,0
1,Morgan Rielly,D,2014-2015,TOR,81,8,21,29,-16,14,1,9,0,0,0,0,148,5.41,0
2,Morgan Rielly,D,2015-2016,TOR,82,9,27,36,-17,28,2,8,1,1,0,0,167,5.39,0
3,Morgan Rielly,D,2016-2017,TOR,76,6,21,27,-20,21,1,5,0,0,1,1,171,3.51,0
4,Morgan Rielly,D,2017-2018,TOR,76,6,46,52,-4,14,1,25,0,0,0,0,182,3.3,0
5,Morgan Rielly,D,2018-2019,TOR,82,20,52,72,24,14,3,21,0,0,5,2,223,8.97,0
6,Morgan Rielly,D,2019-2020,TOR,47,3,24,27,6,24,0,7,0,0,2,1,123,2.4,0
7,Morgan Rielly,D,2020-2021,TOR,55,5,30,35,11,14,1,12,0,1,1,1,101,5,0
8,Morgan Rielly,D,2021-2022,TOR,82,10,58,68,16,40,2,23,0,3,3,0,221,4.5,0
9,Morgan Rielly,D,2022-2023,TOR,20,0,16,16,-1,7,0,6,0,0,0,0,34,0,0
