,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,J.T. Miller,C,2012-2013,NYR,26,2,2,4,-7,8,1,2,0,0,0,0,43,4.65,53.39
1,J.T. Miller,C,2013-2014,NYR,30,3,3,6,-6,18,0,2,0,0,0,0,46,6.52,50.98
2,J.T. Miller,C,2014-2015,NYR,58,10,13,23,5,23,2,3,0,0,3,0,92,10.87,45.37
3,J.T. Miller,C,2015-2016,NYR,82,22,21,43,10,46,2,4,0,0,5,1,135,16.3,43.31
4,J.T. Miller,C,2016-2017,NYR,82,22,34,56,17,21,2,7,3,4,6,1,132,16.67,43.98
5,J.T. Miller,C,2017-2018,NYR,63,13,27,40,-1,28,6,12,0,0,4,2,98,13.27,54.29
6,J.T. Miller,C,2017-2018,TBL,19,10,8,18,-3,12,5,6,0,0,1,0,45,22.22,54.27
7,J.T. Miller,C,2018-2019,TBL,75,13,34,47,8,30,4,20,0,0,4,0,108,12.04,49.43
8,J.T. Miller,C,2019-2020,VAN,69,27,45,72,11,47,9,25,0,2,3,1,165,16.4,59.19
9,J.T. Miller,C,2020-2021,VAN,53,15,31,46,-7,43,3,18,1,1,4,2,106,14.2,53.04
10,J.T. Miller,C,2021-2022,VAN,80,32,67,99,15,47,8,38,0,2,6,3,206,15.5,54.1
11,J.T. Miller,C,2022-2023,VAN,33,13,17,30,-11,28,7,15,0,0,1,0,80,16.3,48.8
