,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tanner Pearson,LW,2013-2014,LAK,25,3,4,7,2,8,1,1,0,0,1,0,31,9.68,50
1,Tanner Pearson,LW,2014-2015,LAK,42,12,4,16,14,14,1,1,0,0,3,0,68,17.65,62.5
2,Tanner Pearson,LW,2015-2016,LAK,79,15,21,36,11,18,2,4,0,0,4,2,137,10.95,32
3,Tanner Pearson,LW,2016-2017,LAK,80,24,20,44,5,13,3,8,1,2,5,2,187,12.83,41.67
4,Tanner Pearson,LW,2017-2018,LAK,82,15,25,40,11,27,2,5,0,0,4,2,180,8.33,49.32
5,Tanner Pearson,LW,2018-2019,LAK,17,0,1,1,-9,8,0,0,0,0,0,0,24,0,20
6,Tanner Pearson,LW,2018-2019,PIT,44,9,5,14,-6,13,1,2,0,0,0,0,81,11.11,33.33
7,Tanner Pearson,LW,2018-2019,VAN,19,9,3,12,0,4,2,3,0,0,1,0,42,21.43,33.33
8,Tanner Pearson,LW,2019-2020,VAN,69,21,24,45,-4,27,3,10,2,3,3,0,164,12.8,17.65
9,Tanner Pearson,LW,2020-2021,VAN,51,10,8,18,-15,26,2,3,0,1,2,0,110,9.1,37.5
10,Tanner Pearson,LW,2021-2022,VAN,68,14,20,34,9,30,1,3,0,0,2,0,159,8.8,35.09
11,Tanner Pearson,LW,2022-2023,VAN,14,1,4,5,-9,21,0,1,0,0,0,0,17,5.9,38.89
