,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyler Myers,D,2009-2010,BUF,82,11,37,48,13,32,3,16,0,1,1,0,104,10.58,0
1,Tyler Myers,D,2010-2011,BUF,80,10,27,37,0,40,3,14,0,0,5,2,122,8.2,0
2,Tyler Myers,D,2011-2012,BUF,55,8,15,23,5,33,3,7,0,0,1,1,84,9.52,0
3,Tyler Myers,D,2012-2013,BUF,39,3,5,8,-8,32,1,3,0,0,2,0,48,6.25,0
4,Tyler Myers,D,2013-2014,BUF,62,9,13,22,-26,58,3,9,0,0,0,0,99,9.09,0
5,Tyler Myers,D,2014-2015,BUF,47,4,9,13,-15,61,1,4,0,0,0,0,72,5.56,0
6,Tyler Myers,D,2014-2015,WPG,24,3,12,15,9,16,1,2,0,2,0,0,52,5.77,0
7,Tyler Myers,D,2015-2016,WPG,73,9,18,27,6,72,0,2,0,1,0,0,140,6.43,0
8,Tyler Myers,D,2016-2017,WPG,11,2,3,5,5,13,0,0,0,1,0,0,16,12.5,0
9,Tyler Myers,D,2017-2018,WPG,82,6,30,36,9,48,3,17,1,1,3,1,150,4,0
10,Tyler Myers,D,2018-2019,WPG,80,9,22,31,11,63,0,7,1,2,3,0,156,5.77,0
11,Tyler Myers,D,2019-2020,VAN,68,6,15,21,-7,49,1,7,1,1,1,0,134,4.5,0
12,Tyler Myers,D,2020-2021,VAN,55,6,15,21,-8,51,0,3,1,2,3,0,109,5.5,0
13,Tyler Myers,D,2021-2022,VAN,82,1,17,18,15,66,0,1,0,0,0,0,128,0.8,0
14,Tyler Myers,D,2022-2023,VAN,30,0,8,8,5,45,0,0,0,0,0,0,36,0,0
