,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mark Stone,RW,2012-2013,OTT,4,0,0,0,-1,2,0,0,0,0,0,0,3,0,100
1,Mark Stone,RW,2013-2014,OTT,19,4,4,8,5,4,1,1,0,0,0,0,36,11.11,100
2,Mark Stone,RW,2014-2015,OTT,80,26,38,64,21,14,5,13,1,1,6,2,157,16.56,38.89
3,Mark Stone,RW,2015-2016,OTT,75,23,38,61,-4,38,5,15,1,3,1,1,151,15.23,42.11
4,Mark Stone,RW,2016-2017,OTT,71,22,32,54,12,25,6,14,0,0,5,0,134,16.42,40
5,Mark Stone,RW,2017-2018,OTT,58,20,42,62,9,10,1,11,1,2,3,1,132,15.15,54.1
6,Mark Stone,RW,2018-2019,OTT,59,28,34,62,13,22,5,17,1,1,4,1,145,19.31,47.17
7,Mark Stone,RW,2018-2019,VGK,18,5,6,11,4,5,1,3,0,0,0,0,54,9.26,33.33
8,Mark Stone,RW,2019-2020,VGK,65,21,42,63,15,27,6,17,0,1,3,0,168,12.5,34.78
9,Mark Stone,RW,2020-2021,VGK,55,21,40,61,26,28,6,17,1,1,8,0,98,21.4,40
10,Mark Stone,RW,2021-2022,VGK,37,9,21,30,7,8,3,6,0,1,2,0,71,12.7,44.83
11,Mark Stone,RW,2022-2023,VGK,36,15,15,30,11,8,3,7,1,1,1,0,100,15,0
