,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Phil Kessel,C,2006-2007,BOS,70,11,18,29,-12,12,1,5,0,0,0,0,170,6.47,40.75
1,Phil Kessel,C,2007-2008,BOS,82,19,18,37,-6,28,5,7,0,0,3,0,213,8.92,42.33
2,Phil Kessel,C,2008-2009,BOS,70,36,24,60,23,16,8,15,0,0,6,0,232,15.52,48.28
3,Phil Kessel,C,2009-2010,TOR,70,30,25,55,-8,21,8,16,0,0,5,1,297,10.1,48.36
4,Phil Kessel,C,2010-2011,TOR,82,32,32,64,-20,24,12,23,1,1,6,1,325,9.85,40.68
5,Phil Kessel,C,2011-2012,TOR,82,37,45,82,-10,20,10,23,0,0,6,0,295,12.54,32.14
6,Phil Kessel,C,2012-2013,TOR,48,20,32,52,-3,18,6,21,0,0,4,0,161,12.42,62.5
7,Phil Kessel,C,2013-2014,TOR,82,37,43,80,-5,27,8,20,0,0,6,0,305,12.13,14.29
8,Phil Kessel,C,2014-2015,TOR,82,25,36,61,-34,30,8,25,0,0,4,1,280,8.93,40
9,Phil Kessel,C,2015-2016,PIT,82,26,33,59,9,18,4,17,0,0,5,1,274,9.49,40
10,Phil Kessel,C,2016-2017,PIT,82,23,47,70,3,20,8,30,0,0,4,1,229,10.04,33.33
11,Phil Kessel,C,2017-2018,PIT,82,34,58,92,-4,36,12,42,0,0,6,3,261,13.03,31.58
12,Phil Kessel,C,2018-2019,PIT,82,27,55,82,-19,28,12,36,0,0,10,2,215,12.56,44.44
13,Phil Kessel,C,2019-2020,ARI,70,14,24,38,-21,22,9,17,0,0,2,0,153,9.2,22.22
14,Phil Kessel,C,2020-2021,ARI,56,20,23,43,-17,12,4,13,0,0,3,1,115,17.4,25
15,Phil Kessel,C,2021-2022,ARI,82,8,44,52,-24,40,2,14,0,0,0,0,175,4.6,33.33
16,Phil Kessel,C,2022-2023,VGK,36,6,7,13,-12,12,0,5,0,0,0,0,63,9.5,20
