,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Reilly Smith,RW,2011-2012,DAL,3,0,0,0,-3,2,0,0,0,0,0,0,2,0,100
1,Reilly Smith,RW,2012-2013,DAL,37,3,6,9,0,8,0,0,0,0,0,0,34,8.82,75
2,Reilly Smith,RW,2013-2014,BOS,82,20,31,51,28,14,6,14,0,0,3,0,146,13.7,0
3,Reilly Smith,RW,2014-2015,BOS,81,13,27,40,7,20,1,11,0,0,0,0,143,9.09,25
4,Reilly Smith,RW,2015-2016,FLA,82,25,25,50,19,31,5,11,0,1,3,0,173,14.45,0
5,Reilly Smith,RW,2016-2017,FLA,80,15,22,37,-13,17,6,11,1,1,3,0,160,9.38,50
6,Reilly Smith,RW,2017-2018,VGK,67,22,38,60,31,24,7,14,1,2,4,1,162,13.58,30.77
7,Reilly Smith,RW,2018-2019,VGK,74,19,34,53,13,14,4,14,1,4,1,0,178,10.67,71.43
8,Reilly Smith,RW,2019-2020,VGK,71,27,27,54,17,20,3,5,2,4,6,0,169,16,25
9,Reilly Smith,RW,2020-2021,VGK,53,14,11,25,10,18,4,5,2,2,1,1,124,11.3,0
10,Reilly Smith,RW,2021-2022,VGK,56,16,22,38,4,8,3,7,2,4,3,0,150,10.7,50
11,Reilly Smith,RW,2022-2023,VGK,36,17,9,26,3,8,6,7,4,4,3,1,92,18.5,66.67
