,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Blake Wheeler,RW,2008-2009,BOS,81,21,24,45,36,46,3,5,2,3,3,0,150,14,38.24
1,Blake Wheeler,RW,2009-2010,BOS,82,18,20,38,-4,53,3,8,1,2,2,0,159,11.32,48.15
2,Blake Wheeler,RW,2010-2011,BOS,58,11,16,27,8,32,0,2,0,0,2,0,101,10.89,38.24
3,Blake Wheeler,RW,2010-2011,ATL,23,7,10,17,2,14,0,3,0,0,0,0,78,8.97,0
4,Blake Wheeler,RW,2011-2012,WPG,80,17,47,64,3,55,6,15,0,0,3,0,208,8.17,40
5,Blake Wheeler,RW,2012-2013,WPG,48,19,22,41,-3,28,2,7,0,0,2,0,129,14.73,22.22
6,Blake Wheeler,RW,2013-2014,WPG,82,28,41,69,4,63,8,19,0,0,4,2,225,12.44,37.5
7,Blake Wheeler,RW,2014-2015,WPG,79,26,35,61,26,73,2,12,4,5,6,0,244,10.66,45.83
8,Blake Wheeler,RW,2015-2016,WPG,82,26,52,78,8,49,3,17,2,4,5,2,256,10.16,35.71
9,Blake Wheeler,RW,2016-2017,WPG,82,26,48,74,6,47,5,21,2,3,4,0,259,10.04,45.74
10,Blake Wheeler,RW,2017-2018,WPG,81,23,68,91,13,52,6,40,0,2,2,0,246,9.35,45.86
11,Blake Wheeler,RW,2018-2019,WPG,82,20,71,91,0,60,2,33,2,3,3,0,231,8.66,35.23
12,Blake Wheeler,RW,2019-2020,WPG,71,22,43,65,1,37,4,22,1,2,2,0,180,12.2,49.85
13,Blake Wheeler,RW,2020-2021,WPG,50,15,31,46,-17,50,4,15,0,0,2,0,113,13.3,37.5
14,Blake Wheeler,RW,2021-2022,WPG,65,17,43,60,-15,36,3,20,0,0,2,0,167,10.2,19.05
15,Blake Wheeler,RW,2022-2023,WPG,29,9,17,26,1,20,5,7,0,0,4,1,66,13.6,40.91
