,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alex Ovechkin,LW,2005-2006,WSH,81,52,54,106,2,52,21,52,3,3,5,2,425,12.24,12.5
1,Alex Ovechkin,LW,2006-2007,WSH,82,46,46,92,-19,52,16,37,0,0,8,1,392,11.73,47.06
2,Alex Ovechkin,LW,2007-2008,WSH,82,65,47,112,28,40,22,37,0,0,11,2,446,14.57,38.89
3,Alex Ovechkin,LW,2008-2009,WSH,79,56,54,110,8,72,19,46,1,1,10,2,528,10.61,25
4,Alex Ovechkin,LW,2009-2010,WSH,72,50,59,109,45,89,13,36,0,0,7,0,368,13.59,45.45
5,Alex Ovechkin,LW,2010-2011,WSH,79,32,53,85,24,41,7,24,0,0,11,3,367,8.72,33.33
6,Alex Ovechkin,LW,2011-2012,WSH,78,38,27,65,-8,26,13,23,0,0,3,2,303,12.54,40
7,Alex Ovechkin,LW,2012-2013,WSH,48,32,24,56,2,36,16,27,0,0,4,0,220,14.55,0
8,Alex Ovechkin,LW,2013-2014,WSH,78,51,28,79,-35,48,24,39,0,1,10,3,386,13.21,66.67
9,Alex Ovechkin,LW,2014-2015,WSH,81,53,28,81,10,58,25,34,0,0,11,0,395,13.42,40
10,Alex Ovechkin,LW,2015-2016,WSH,79,50,21,71,21,53,19,24,0,0,8,2,398,12.56,0
11,Alex Ovechkin,LW,2016-2017,WSH,82,33,36,69,6,50,17,26,0,0,7,2,313,10.54,0
12,Alex Ovechkin,LW,2017-2018,WSH,82,49,38,87,3,32,17,31,0,0,7,3,355,13.8,37.5
13,Alex Ovechkin,LW,2018-2019,WSH,81,51,38,89,7,40,18,28,0,0,5,0,338,15.09,20
14,Alex Ovechkin,LW,2019-2020,WSH,68,48,19,67,-12,30,13,18,0,0,3,1,311,15.4,100
15,Alex Ovechkin,LW,2020-2021,WSH,45,24,18,42,-7,12,9,17,0,0,6,1,182,13.2,0
16,Alex Ovechkin,LW,2021-2022,WSH,77,50,40,90,8,18,16,29,1,1,5,0,334,15,30.77
17,Alex Ovechkin,LW,2022-2023,WSH,36,22,19,41,-4,16,7,15,0,0,3,1,157,14,40
