,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Dmitry Orlov,D,2011-2012,WSH,60,3,16,19,1,18,0,2,0,0,1,0,51,5.88,0
1,Dmitry Orlov,D,2012-2013,WSH,5,0,1,1,5,0,0,0,0,0,0,0,1,0,0
2,Dmitry Orlov,D,2013-2014,WSH,54,3,8,11,-1,19,0,1,0,0,0,0,59,5.08,0
3,Dmitry Orlov,D,2015-2016,WSH,82,8,21,29,8,26,0,2,0,0,3,0,90,8.89,0
4,Dmitry Orlov,D,2016-2017,WSH,82,6,27,33,30,51,1,6,0,0,0,0,125,4.8,0
5,Dmitry Orlov,D,2017-2018,WSH,82,10,21,31,10,22,0,4,0,0,2,0,125,8,0
6,Dmitry Orlov,D,2018-2019,WSH,82,3,26,29,3,33,0,1,0,0,0,0,101,2.97,0
7,Dmitry Orlov,D,2019-2020,WSH,69,4,23,27,5,36,1,5,0,1,2,1,105,3.8,0
8,Dmitry Orlov,D,2020-2021,WSH,51,8,14,22,16,20,0,2,0,0,2,1,83,9.6,0
9,Dmitry Orlov,D,2021-2022,WSH,76,12,23,35,25,44,2,4,0,0,4,1,127,9.4,0
10,Dmitry Orlov,D,2022-2023,WSH,20,2,8,10,8,2,0,1,0,0,1,1,44,4.5,0
