,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,John Carlson,D,2009-2010,WSH,22,1,5,6,11,8,0,0,0,0,0,0,21,4.76,0
1,John Carlson,D,2010-2011,WSH,82,7,30,37,21,44,1,6,0,0,3,0,144,4.86,0
2,John Carlson,D,2011-2012,WSH,82,9,23,32,-15,22,4,7,0,1,0,0,152,5.92,0
3,John Carlson,D,2012-2013,WSH,48,6,16,22,11,18,0,5,0,0,0,0,97,6.19,100
4,John Carlson,D,2013-2014,WSH,82,10,27,37,-3,22,5,22,0,1,0,0,208,4.81,0
5,John Carlson,D,2014-2015,WSH,82,12,43,55,11,28,3,16,1,1,3,0,193,6.22,0
6,John Carlson,D,2015-2016,WSH,56,8,31,39,16,14,2,14,0,1,4,1,124,6.45,0
7,John Carlson,D,2016-2017,WSH,72,9,28,37,7,10,3,16,0,1,3,0,180,5,0
8,John Carlson,D,2017-2018,WSH,82,15,53,68,0,32,4,32,0,0,4,1,237,6.33,0
9,John Carlson,D,2018-2019,WSH,80,13,57,70,21,34,3,33,0,0,1,0,185,7.03,0
10,John Carlson,D,2019-2020,WSH,69,15,60,75,12,26,2,26,0,0,6,0,189,7.9,0
11,John Carlson,D,2020-2021,WSH,52,10,34,44,-5,12,3,15,0,0,1,0,128,7.8,0
12,John Carlson,D,2021-2022,WSH,78,17,54,71,13,20,7,25,0,3,2,0,195,8.7,0
13,John Carlson,D,2022-2023,WSH,30,8,13,21,-1,6,2,7,1,1,0,0,101,7.9,0
