,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Matt Irwin,D,2012-2013,SJS,38,6,6,12,-1,10,4,5,0,0,0,0,79,7.59,0
1,Matt Irwin,D,2013-2014,SJS,62,2,17,19,5,35,1,6,0,0,0,0,147,1.36,0
2,Matt Irwin,D,2014-2015,SJS,53,8,11,19,3,18,1,3,0,0,1,0,93,8.6,0
3,Matt Irwin,D,2015-2016,BOS,2,0,0,0,-5,0,0,0,0,0,0,0,3,0,0
4,Matt Irwin,D,2016-2017,NSH,74,3,11,14,15,26,0,0,0,2,1,0,98,3.06,0
5,Matt Irwin,D,2017-2018,NSH,50,2,6,8,2,8,0,0,0,0,0,0,62,3.23,0
6,Matt Irwin,D,2018-2019,NSH,44,1,6,7,5,38,0,0,0,0,0,0,50,2,0
7,Matt Irwin,D,2019-2020,NSH,27,0,2,2,-8,11,0,0,0,0,0,0,40,0,0
8,Matt Irwin,D,2019-2020,ANA,9,0,1,1,-7,4,0,0,0,0,0,0,18,0,0
9,Matt Irwin,D,2020-2021,BUF,24,0,2,2,-10,19,0,0,0,0,0,0,27,0,0
10,Matt Irwin,D,2021-2022,WSH,17,1,3,4,0,6,0,0,0,0,0,0,29,3.4,0
11,Matt Irwin,D,2022-2023,WSH,26,0,1,1,0,16,0,0,0,0,0,0,33,0,0
