,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,T.J. Oshie,RW,2008-2009,STL,57,14,25,39,16,30,6,13,1,4,1,0,101,13.86,43.12
1,T.J. Oshie,RW,2009-2010,STL,76,18,30,48,-1,36,1,15,1,1,3,0,158,11.39,41.83
2,T.J. Oshie,RW,2010-2011,STL,49,12,22,34,10,15,3,9,1,1,3,0,103,11.65,44.05
3,T.J. Oshie,RW,2011-2012,STL,80,19,35,54,15,50,3,16,1,2,3,0,188,10.11,45.28
4,T.J. Oshie,RW,2012-2013,STL,30,7,13,20,-5,15,2,10,1,2,1,0,65,10.77,38.46
5,T.J. Oshie,RW,2013-2014,STL,79,21,39,60,19,42,5,15,2,3,5,1,152,13.82,42.42
6,T.J. Oshie,RW,2014-2015,STL,72,19,36,55,17,51,3,13,0,0,4,1,162,11.73,23.08
7,T.J. Oshie,RW,2015-2016,WSH,80,26,25,51,16,34,11,17,0,0,5,0,185,14.05,52.67
8,T.J. Oshie,RW,2016-2017,WSH,68,33,23,56,28,36,7,13,1,3,4,1,143,23.08,48.33
9,T.J. Oshie,RW,2017-2018,WSH,74,18,29,47,2,31,9,18,0,0,3,0,127,14.17,47.87
10,T.J. Oshie,RW,2018-2019,WSH,69,25,29,54,5,36,6,14,1,1,4,0,143,17.48,40.98
11,T.J. Oshie,RW,2019-2020,WSH,69,26,23,49,4,26,10,12,0,0,4,1,133,19.5,50
12,T.J. Oshie,RW,2020-2021,WSH,53,22,21,43,-3,18,13,17,0,0,1,0,106,20.8,47.93
13,T.J. Oshie,RW,2021-2022,WSH,44,11,14,25,-12,18,4,10,0,1,1,0,77,14.3,42.6
14,T.J. Oshie,RW,2022-2023,WSH,22,5,6,11,-6,17,4,5,0,0,1,0,47,10.6,33.96
