,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Adam Henrique,C,2010-2011,NJD,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0
1,Adam Henrique,C,2011-2012,NJD,74,16,35,51,8,7,0,8,4,7,3,1,130,12.31,48.83
2,Adam Henrique,C,2012-2013,NJD,42,11,5,16,-3,16,3,4,2,3,2,0,78,14.1,48.97
3,Adam Henrique,C,2013-2014,NJD,77,25,18,43,3,20,7,12,3,5,4,0,137,18.25,44.34
4,Adam Henrique,C,2014-2015,NJD,75,16,27,43,-6,34,5,16,0,1,3,0,127,12.6,52.02
5,Adam Henrique,C,2015-2016,NJD,80,30,20,50,10,23,7,12,2,3,8,2,149,20.13,44.68
6,Adam Henrique,C,2016-2017,NJD,82,20,20,40,-20,38,6,10,2,3,2,1,142,14.08,48.19
7,Adam Henrique,C,2017-2018,NJD,24,4,10,14,-6,6,2,5,0,2,0,0,49,8.16,47.08
8,Adam Henrique,C,2017-2018,ANA,57,20,16,36,17,14,4,8,1,1,8,1,102,19.61,48.67
9,Adam Henrique,C,2018-2019,ANA,82,18,24,42,-5,24,8,13,0,1,3,0,122,14.75,52.72
10,Adam Henrique,C,2019-2020,ANA,71,26,17,43,-2,22,5,9,0,0,1,0,169,15.4,55.05
11,Adam Henrique,C,2020-2021,ANA,45,12,9,21,-8,11,1,2,0,1,2,2,77,15.6,55.39
12,Adam Henrique,C,2021-2022,ANA,58,19,23,42,-2,14,6,11,0,0,0,0,141,13.5,55.53
13,Adam Henrique,C,2022-2023,ANA,34,9,8,17,0,18,2,6,0,0,0,0,65,13.8,52.86
