,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Cam Fowler,D,2010-2011,ANA,76,10,30,40,-25,20,6,23,0,0,3,2,123,8.13,0
1,Cam Fowler,D,2011-2012,ANA,82,5,24,29,-28,18,2,11,0,0,0,0,123,4.07,100
2,Cam Fowler,D,2012-2013,ANA,37,1,10,11,-4,4,1,6,0,0,0,0,50,2,0
3,Cam Fowler,D,2013-2014,ANA,70,6,30,36,15,14,4,15,1,1,2,0,100,6,0
4,Cam Fowler,D,2014-2015,ANA,80,7,27,34,4,14,1,9,1,2,2,1,87,8.05,0
5,Cam Fowler,D,2015-2016,ANA,69,5,23,28,-8,27,3,17,0,0,0,0,113,4.42,0
6,Cam Fowler,D,2016-2017,ANA,80,11,28,39,7,20,5,15,1,2,3,0,186,5.91,0
7,Cam Fowler,D,2017-2018,ANA,67,8,24,32,3,28,1,10,1,2,1,0,122,6.56,50
8,Cam Fowler,D,2018-2019,ANA,59,5,18,23,-14,20,1,6,0,1,2,1,88,5.68,0
9,Cam Fowler,D,2019-2020,ANA,59,9,20,29,0,20,2,8,0,0,2,0,117,7.7,0
10,Cam Fowler,D,2020-2021,ANA,56,5,18,23,-4,18,0,4,0,0,1,0,75,6.7,0
11,Cam Fowler,D,2021-2022,ANA,76,9,33,42,-9,14,6,18,0,0,1,0,124,7.3,0
12,Cam Fowler,D,2022-2023,ANA,35,4,13,17,-10,4,3,8,0,0,0,0,57,7,0
