,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Derek Grant,C,2012-2013,OTT,5,0,0,0,-1,0,0,0,0,0,0,0,5,0,54.84
1,Derek Grant,C,2013-2014,OTT,20,0,2,2,-3,4,0,0,0,0,0,0,31,0,52.67
2,Derek Grant,C,2015-2016,CGY,15,0,1,1,-7,2,0,0,0,0,0,0,22,0,54.95
3,Derek Grant,C,2016-2017,BUF,35,0,3,3,-3,19,0,0,0,0,0,0,31,0,52.63
4,Derek Grant,C,2016-2017,NSH,6,0,1,1,-2,5,0,0,0,0,0,0,6,0,53.85
5,Derek Grant,C,2016-2017,BUF,5,0,0,0,0,0,0,0,0,0,0,0,3,0,46.43
6,Derek Grant,C,2017-2018,ANA,66,12,12,24,3,11,3,3,0,1,0,0,65,18.46,53.1
7,Derek Grant,C,2018-2019,PIT,25,2,3,5,3,6,0,0,0,0,0,0,26,7.69,57.14
8,Derek Grant,C,2018-2019,ANA,31,2,7,9,-9,8,0,0,0,1,1,0,48,4.17,51.05
9,Derek Grant,C,2019-2020,ANA,49,14,6,20,-1,28,2,2,3,4,4,0,81,17.3,51.35
10,Derek Grant,C,2019-2020,PHI,7,1,4,5,2,2,0,0,0,1,1,0,13,7.7,53.85
11,Derek Grant,C,2020-2021,ANA,46,6,9,15,-4,25,0,0,1,1,1,0,66,9.1,51.06
12,Derek Grant,C,2021-2022,ANA,71,15,14,29,-16,27,2,2,1,2,1,0,117,12.8,48.57
13,Derek Grant,C,2022-2023,ANA,15,2,1,3,-6,8,0,0,0,0,0,0,22,9.1,51.59
