,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jakob Silfverberg,RW,2012-2013,OTT,48,10,9,19,9,12,2,3,1,1,2,0,134,7.46,38.46
1,Jakob Silfverberg,RW,2013-2014,ANA,52,10,13,23,2,12,1,1,2,2,1,0,119,8.4,8.33
2,Jakob Silfverberg,RW,2014-2015,ANA,81,13,26,39,15,24,2,4,1,3,2,0,189,6.88,46
3,Jakob Silfverberg,RW,2015-2016,ANA,82,20,19,39,8,32,2,4,0,1,2,1,215,9.3,20
4,Jakob Silfverberg,RW,2016-2017,ANA,79,23,26,49,10,20,5,9,1,1,5,0,227,10.13,14.29
5,Jakob Silfverberg,RW,2017-2018,ANA,77,17,23,40,6,18,2,8,1,2,2,0,187,9.09,33.96
6,Jakob Silfverberg,RW,2018-2019,ANA,73,24,19,43,-9,28,3,11,2,3,4,1,163,14.72,37.25
7,Jakob Silfverberg,RW,2019-2020,ANA,66,21,18,39,0,14,4,7,2,2,1,0,155,13.5,19.51
8,Jakob Silfverberg,RW,2020-2021,ANA,47,8,8,16,-17,18,2,3,1,1,0,0,91,8.8,40.91
9,Jakob Silfverberg,RW,2021-2022,ANA,53,5,16,21,-3,30,1,5,0,0,0,0,120,4.2,33.33
10,Jakob Silfverberg,RW,2022-2023,ANA,34,5,4,9,-13,8,1,2,0,0,0,0,63,7.9,46.15
