,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kevin Shattenkirk,D,2010-2011,COL,46,7,19,26,-11,20,2,10,0,0,1,0,67,10.45,0
1,Kevin Shattenkirk,D,2010-2011,STL,26,2,15,17,7,16,1,5,0,0,1,0,41,4.88,0
2,Kevin Shattenkirk,D,2011-2012,STL,81,9,34,43,20,60,5,18,0,1,2,0,178,5.06,25
3,Kevin Shattenkirk,D,2012-2013,STL,48,5,18,23,2,20,2,9,0,0,0,0,84,5.95,0
4,Kevin Shattenkirk,D,2013-2014,STL,81,10,35,45,1,38,7,26,0,1,5,1,188,5.32,0
5,Kevin Shattenkirk,D,2014-2015,STL,56,8,36,44,19,52,4,25,0,0,1,0,135,5.93,0
6,Kevin Shattenkirk,D,2015-2016,STL,72,14,30,44,-14,51,6,26,0,1,1,1,180,7.78,0
7,Kevin Shattenkirk,D,2016-2017,STL,61,11,31,42,-11,37,7,20,0,0,0,0,115,9.57,0
8,Kevin Shattenkirk,D,2016-2017,WSH,19,2,12,14,4,10,1,7,0,0,2,0,46,4.35,0
9,Kevin Shattenkirk,D,2017-2018,NYR,46,5,18,23,-14,44,2,12,0,0,1,1,94,5.32,0
10,Kevin Shattenkirk,D,2018-2019,NYR,73,2,26,28,-15,20,1,7,0,0,0,0,148,1.35,0
11,Kevin Shattenkirk,D,2019-2020,TBL,70,8,26,34,22,38,1,7,0,0,0,0,131,6.1,0
12,Kevin Shattenkirk,D,2020-2021,ANA,55,2,13,15,-8,28,1,5,0,0,0,0,93,2.2,0
13,Kevin Shattenkirk,D,2021-2022,ANA,82,8,27,35,-9,36,1,14,0,0,1,0,163,4.9,0
14,Kevin Shattenkirk,D,2022-2023,ANA,31,0,9,9,-3,28,0,1,0,0,0,0,68,0,0
