,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Strome,C,2013-2014,NYI,37,7,11,18,-1,8,4,7,0,0,1,0,89,7.87,44.12
1,Ryan Strome,C,2014-2015,NYI,81,17,33,50,23,47,1,8,1,1,2,0,179,9.5,46.71
2,Ryan Strome,C,2015-2016,NYI,71,8,20,28,-9,28,1,4,0,0,0,0,132,6.06,41.05
3,Ryan Strome,C,2016-2017,NYI,69,13,17,30,-8,40,2,8,0,0,2,0,114,11.4,42.73
4,Ryan Strome,C,2017-2018,EDM,82,13,21,34,-4,33,2,6,0,1,3,0,147,8.84,44.26
5,Ryan Strome,C,2018-2019,EDM,18,1,1,2,-1,14,0,0,0,0,0,0,30,3.33,48.77
6,Ryan Strome,C,2018-2019,NYR,63,18,15,33,-2,50,4,7,0,0,2,2,80,22.5,47.16
7,Ryan Strome,C,2019-2020,NYR,70,18,41,59,21,48,3,17,0,1,3,0,154,11.7,47.51
8,Ryan Strome,C,2020-2021,NYR,56,14,35,49,6,39,3,18,0,2,1,0,128,10.9,43.2
9,Ryan Strome,C,2021-2022,NYR,74,21,33,54,15,69,5,14,1,1,5,0,161,13,44.38
10,Ryan Strome,C,2022-2023,ANA,35,8,10,18,-14,27,1,2,0,0,2,2,57,14,43.82
