,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Patrik Nemeth,D,2013-2014,DAL,8,0,0,0,-3,6,0,0,0,0,0,0,3,0,0
1,Patrik Nemeth,D,2014-2015,DAL,22,0,3,3,0,6,0,0,0,0,0,0,16,0,0
2,Patrik Nemeth,D,2015-2016,DAL,38,0,8,8,-1,14,0,1,0,0,0,0,36,0,0
3,Patrik Nemeth,D,2016-2017,DAL,40,0,3,3,-4,14,0,0,0,0,0,0,46,0,0
4,Patrik Nemeth,D,2017-2018,COL,68,3,12,15,27,41,0,0,0,2,0,0,73,4.11,0
5,Patrik Nemeth,D,2018-2019,COL,74,1,9,10,5,53,0,0,0,1,0,0,57,1.75,0
6,Patrik Nemeth,D,2019-2020,DET,64,1,8,9,-10,28,0,0,0,1,1,0,89,1.1,0
7,Patrik Nemeth,D,2020-2021,DET,39,2,6,8,-1,14,0,0,0,0,0,0,46,4.3,0
8,Patrik Nemeth,D,2020-2021,COL,13,1,1,2,6,6,0,0,0,0,0,0,7,14.3,0
9,Patrik Nemeth,D,2021-2022,NYR,63,2,5,7,-9,28,0,0,0,0,1,0,52,3.8,0
10,Patrik Nemeth,D,2022-2023,ARI,27,0,3,3,0,10,0,0,0,0,0,0,18,0,0
