,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Anton Stralman,D,2007-2008,TOR,50,3,6,9,-10,18,0,2,0,0,0,0,40,7.5,0
1,Anton Stralman,D,2008-2009,TOR,38,1,12,13,-2,20,0,5,0,0,1,0,43,2.33,100
2,Anton Stralman,D,2009-2010,CBJ,73,6,28,34,-17,37,4,22,0,0,0,0,121,4.96,0
3,Anton Stralman,D,2010-2011,CBJ,51,1,17,18,-11,22,1,10,0,0,1,0,80,1.25,0
4,Anton Stralman,D,2011-2012,NYR,53,2,16,18,9,20,0,4,0,0,0,0,55,3.64,0
5,Anton Stralman,D,2012-2013,NYR,48,4,3,7,14,16,0,0,0,0,0,0,66,6.06,0
6,Anton Stralman,D,2013-2014,NYR,81,1,12,13,9,26,0,0,0,0,0,0,104,0.96,0
7,Anton Stralman,D,2014-2015,TBL,82,9,30,39,22,26,2,14,0,0,0,0,138,6.52,0
8,Anton Stralman,D,2015-2016,TBL,73,9,25,34,16,20,1,12,0,0,0,0,127,7.09,0
9,Anton Stralman,D,2016-2017,TBL,73,5,17,22,1,20,1,7,0,0,0,0,130,3.85,0
10,Anton Stralman,D,2017-2018,TBL,80,4,14,18,29,18,0,0,0,0,0,0,131,3.05,0
11,Anton Stralman,D,2018-2019,TBL,47,2,15,17,12,8,0,1,0,0,0,0,57,3.51,0
12,Anton Stralman,D,2019-2020,FLA,69,5,14,19,-6,14,0,0,0,1,3,0,89,5.6,0
13,Anton Stralman,D,2020-2021,FLA,38,3,6,9,-1,8,0,0,0,0,0,0,38,7.9,0
14,Anton Stralman,D,2021-2022,ARI,74,8,15,23,-16,12,0,0,0,0,1,0,95,8.4,0
15,Anton Stralman,D,2022-2023,BOS,8,0,0,0,-3,2,0,0,0,0,0,0,3,0,0
