,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brad Marchand,LW,2009-2010,BOS,20,0,1,1,-3,20,0,0,0,0,0,0,32,0,27.27
1,Brad Marchand,LW,2010-2011,BOS,77,21,20,41,25,51,2,3,5,6,2,0,149,14.09,32
2,Brad Marchand,LW,2011-2012,BOS,76,28,27,55,31,87,5,6,1,3,3,0,167,16.77,55.56
3,Brad Marchand,LW,2012-2013,BOS,45,18,18,36,23,27,4,4,2,2,5,0,91,19.78,50
4,Brad Marchand,LW,2013-2014,BOS,82,25,28,53,36,64,1,2,5,5,5,1,149,16.78,26.09
5,Brad Marchand,LW,2014-2015,BOS,77,24,18,42,5,95,2,2,2,3,5,3,180,13.33,39.39
6,Brad Marchand,LW,2015-2016,BOS,77,37,24,61,21,90,6,8,4,6,6,2,250,14.8,37.5
7,Brad Marchand,LW,2016-2017,BOS,80,39,46,85,18,81,9,24,3,5,8,1,226,17.26,36.11
8,Brad Marchand,LW,2017-2018,BOS,68,34,51,85,25,63,8,23,1,4,8,5,182,18.68,39.68
9,Brad Marchand,LW,2018-2019,BOS,79,36,64,100,15,96,10,34,3,7,9,3,231,15.58,42.86
10,Brad Marchand,LW,2019-2020,BOS,70,28,59,87,25,82,5,28,1,3,5,0,185,15.1,43.14
11,Brad Marchand,LW,2020-2021,BOS,53,29,40,69,26,46,4,18,4,7,5,1,143,20.3,31.43
12,Brad Marchand,LW,2021-2022,BOS,70,32,48,80,16,97,7,27,2,2,6,1,242,13.2,34.15
13,Brad Marchand,LW,2022-2023,BOS,25,9,18,27,9,22,6,18,0,0,2,0,62,14.5,47.62
