,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Charlie Coyle,C,2012-2013,MIN,37,8,6,14,3,28,1,1,0,0,2,0,50,16,34.62
1,Charlie Coyle,C,2013-2014,MIN,70,12,18,30,-7,33,2,3,0,0,2,0,135,8.89,41.92
2,Charlie Coyle,C,2014-2015,MIN,82,11,24,35,13,39,1,3,0,0,4,0,120,9.17,46.52
3,Charlie Coyle,C,2015-2016,MIN,82,21,21,42,1,16,2,6,0,1,4,0,140,15,45.42
4,Charlie Coyle,C,2016-2017,MIN,82,18,38,56,13,36,4,9,0,0,5,0,159,11.32,45.97
5,Charlie Coyle,C,2017-2018,MIN,66,11,26,37,8,18,0,3,1,1,1,0,117,9.4,52.17
6,Charlie Coyle,C,2018-2019,MIN,60,10,18,28,1,16,1,3,1,1,2,0,113,8.85,46.03
7,Charlie Coyle,C,2018-2019,BOS,21,2,4,6,-2,4,0,1,0,0,0,0,42,4.76,45.5
8,Charlie Coyle,C,2019-2020,BOS,70,16,21,37,9,21,1,5,2,2,3,0,145,11,46.64
9,Charlie Coyle,C,2020-2021,BOS,51,6,10,16,-4,20,0,2,1,1,2,0,79,7.6,48.32
10,Charlie Coyle,C,2021-2022,BOS,82,16,28,44,-6,32,3,9,0,1,5,2,131,12.2,49.09
11,Charlie Coyle,C,2022-2023,BOS,33,9,8,17,14,16,0,0,1,2,0,0,58,15.5,55.05
