,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Craig Smith,C,2011-2012,NSH,72,14,22,36,-9,30,6,13,0,0,1,0,172,8.14,44.02
1,Craig Smith,C,2012-2013,NSH,44,4,8,12,-11,20,2,7,0,0,0,0,83,4.82,39.5
2,Craig Smith,C,2013-2014,NSH,79,24,28,52,16,22,7,10,0,0,4,1,215,11.16,15.79
3,Craig Smith,C,2014-2015,NSH,82,23,21,44,11,44,6,9,0,0,4,1,252,9.13,40
4,Craig Smith,C,2015-2016,NSH,82,21,16,37,4,40,2,5,0,0,6,0,199,10.55,33.04
5,Craig Smith,C,2016-2017,NSH,78,12,17,29,7,30,2,3,0,0,1,0,155,7.74,45.95
6,Craig Smith,C,2017-2018,NSH,79,25,26,51,20,24,9,14,0,0,2,0,229,10.92,42.55
7,Craig Smith,C,2018-2019,NSH,76,21,17,38,11,20,4,8,0,0,2,0,205,10.24,48.15
8,Craig Smith,C,2019-2020,NSH,69,18,13,31,18,34,4,7,0,0,2,0,184,9.8,48.28
9,Craig Smith,C,2020-2021,BOS,54,13,19,32,21,18,4,6,0,0,4,1,132,9.8,43.48
10,Craig Smith,C,2021-2022,BOS,74,16,20,36,2,28,0,4,0,0,1,0,187,8.6,33.33
11,Craig Smith,C,2022-2023,BOS,19,1,3,4,1,6,0,1,0,0,0,0,24,4.2,0
