,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,David Krejci,C,2006-2007,BOS,6,0,0,0,-3,2,0,0,0,0,0,0,2,0,28.57
1,David Krejci,C,2007-2008,BOS,56,6,21,27,-3,20,1,10,1,2,0,0,73,8.22,48.19
2,David Krejci,C,2008-2009,BOS,82,22,51,73,37,26,5,19,2,4,6,1,146,15.07,50.29
3,David Krejci,C,2009-2010,BOS,79,17,35,52,8,26,6,14,0,2,3,0,156,10.9,50.72
4,David Krejci,C,2010-2011,BOS,75,13,49,62,23,28,1,12,0,0,2,0,157,8.28,48.74
5,David Krejci,C,2011-2012,BOS,79,23,39,62,-5,36,2,11,0,0,2,1,145,15.86,52.06
6,David Krejci,C,2012-2013,BOS,47,10,23,33,1,20,0,7,0,0,5,0,93,10.75,55.2
7,David Krejci,C,2013-2014,BOS,80,19,50,69,39,28,3,19,0,0,6,1,169,11.24,51.16
8,David Krejci,C,2014-2015,BOS,47,7,24,31,7,22,1,8,1,1,1,0,70,10,53.2
9,David Krejci,C,2015-2016,BOS,72,17,46,63,4,32,4,18,0,3,3,0,143,11.89,50.13
10,David Krejci,C,2016-2017,BOS,82,23,31,54,-12,26,8,14,0,0,3,0,158,14.56,51.52
11,David Krejci,C,2017-2018,BOS,64,17,27,44,10,18,7,13,0,0,2,0,119,14.29,51.91
12,David Krejci,C,2018-2019,BOS,81,20,53,73,7,16,6,16,0,0,4,1,139,14.39,48.4
13,David Krejci,C,2019-2020,BOS,61,13,30,43,14,23,3,14,0,0,3,1,83,15.7,50.34
14,David Krejci,C,2020-2021,BOS,51,8,36,44,16,16,3,16,0,0,1,0,83,9.6,54.22
15,David Krejci,C,2022-2023,BOS,28,10,16,26,0,10,3,10,0,0,0,0,45,22.2,50.18
