,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Hampus Lindholm,D,2013-2014,ANA,78,6,24,30,29,36,1,4,0,0,1,0,116,5.17,0
1,Hampus Lindholm,D,2014-2015,ANA,78,7,27,34,25,32,0,6,0,0,1,0,107,6.54,0
2,Hampus Lindholm,D,2015-2016,ANA,80,10,18,28,7,40,4,15,1,1,1,0,149,6.71,0
3,Hampus Lindholm,D,2016-2017,ANA,66,6,14,20,13,36,1,5,0,0,2,0,94,6.38,100
4,Hampus Lindholm,D,2017-2018,ANA,69,13,18,31,16,34,3,8,0,0,3,2,131,9.92,0
5,Hampus Lindholm,D,2018-2019,ANA,76,6,22,28,-5,44,1,6,0,1,0,0,125,4.8,0
6,Hampus Lindholm,D,2019-2020,ANA,56,2,21,23,-10,34,1,8,0,2,1,0,109,1.8,0
7,Hampus Lindholm,D,2020-2021,ANA,18,2,4,6,-1,16,0,1,0,0,0,0,29,6.9,0
8,Hampus Lindholm,D,2021-2022,ANA,61,5,17,22,0,42,1,4,0,1,1,0,119,4.2,0
9,Hampus Lindholm,D,2021-2022,BOS,10,0,5,5,10,4,0,1,0,0,0,0,23,0,0
10,Hampus Lindholm,D,2022-2023,BOS,33,4,20,24,27,24,0,9,0,0,1,1,70,5.7,0
