,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Craig Anderson,G,2002-2003,CHI,6,5,0,3,2,--,125,18,4.00,107,.856,0,270:14
1,Craig Anderson,G,2003-2004,CHI,21,19,6,14,0,--,602,57,2.84,545,.905,1,"1,205:13"
2,Craig Anderson,G,2005-2006,CHI,14,11,2,8,0,1,365,49,3.90,316,.866,0,753:38
3,Craig Anderson,G,2005-2006,CHI,15,10,4,4,0,3,392,37,2.78,355,.906,1,799:50
4,Craig Anderson,G,2006-2007,FLA,5,3,1,1,0,1,116,8,2.21,108,.931,0,216:53
5,Craig Anderson,G,2007-2008,FLA,17,13,8,6,0,1,535,35,2.25,500,.935,2,934:56
6,Craig Anderson,G,2008-2009,FLA,31,27,15,7,0,5,977,74,2.71,903,.924,3,"1,635:52"
7,Craig Anderson,G,2009-2010,COL,71,71,38,25,0,7,"2,233",186,2.64,"2,047",.917,7,"4,235:21"
8,Craig Anderson,G,2010-2011,COL,33,31,13,15,0,3,957,99,3.28,858,.897,0,"1,810:18"
9,Craig Anderson,G,2010-2011,OTT,18,18,11,5,0,1,589,36,2.05,553,.939,2,"1,054:49"
10,Craig Anderson,G,2011-2012,OTT,63,60,33,22,0,6,"1,917",165,2.84,"1,752",.914,3,"3,492:18"
11,Craig Anderson,G,2012-2013,OTT,24,24,12,9,0,2,677,40,1.69,637,.941,3,"1,420:36"
12,Craig Anderson,G,2013-2014,OTT,53,52,25,16,0,8,"1,680",150,3.00,"1,530",.911,4,"2,999:44"
13,Craig Anderson,G,2014-2015,OTT,35,35,14,13,0,8,"1,134",87,2.49,"1,047",.923,3,"2,092:31"
14,Craig Anderson,G,2015-2016,OTT,60,60,31,23,0,5,"1,915",161,2.78,"1,754",.916,4,"3,477:08"
15,Craig Anderson,G,2016-2017,OTT,40,40,25,11,0,4,"1,247",92,2.28,"1,155",.926,5,"2,421:14"
16,Craig Anderson,G,2017-2018,OTT,58,55,23,25,0,6,"1,768",180,3.32,"1,588",.898,2,"3,250:32"
17,Craig Anderson,G,2018-2019,OTT,50,47,17,27,0,4,"1,676",163,3.51,"1,513",.903,2,"2,785:11"
18,Craig Anderson,G,2019-2020,OTT,34,31,11,17,0,2,"1,018",100,3.25,918,.902,0,"1,845:11"
19,Craig Anderson,G,2020-2021,WSH,4,2,2,1,0,0,71,6,2.13,65,.915,0,168:44
20,Craig Anderson,G,2021-2022,BUF,31,31,17,12,0,2,945,97,3.12,848,.897,0,"1,867:15"
21,Craig Anderson,G,2022-2023,BUF,13,12,7,4,0,1,425,33,2.65,392,.922,1,746:20
